Exp or Imp,Year,HS,Unit1,Unit2,Quantity1-Year,Quantity2-Year,Value-Year,Quantity1-Jan,Quantity2-Jan,Value-Jan,Quantity1-Feb,Quantity2-Feb,Value-Feb,Quantity1-Mar,Quantity2-Mar,Value-Mar,Quantity1-Apl,Quantity2-Apl,Value-Apl,Quantity1-May,Quantity2-May,Value-May,Quantity1-Jun,Quantity2-Jun,Value-Jun,Quantity1-Jul,Quantity2-Jul,Value-Jul,Quantity1-Aug,Quantity2-Aug,Value-Aug,Quantity1-Sep,Quantity2-Sep,Value-Sep,Quantity1-Oct,Quantity2-Oct,Value-Oct,Quantity1-Nov,Quantity2-Nov,Value-Nov,Quantity1-Dec,Quantity2-Dec,Value-Dec
2,2016,'000000011',  ,KG,0,2625635,728120,0,236853,68196,0,174469,56795,0,183658,54058,0,191748,49641,0,222020,53149,0,230414,51280,0,171297,54941,0,240602,71858,0,200553,53337,0,312429,72573,0,166976,61397,0,294616,80895
2,2016,'000000019',  ,KG,0,1300869,10922648,0,111826,528322,0,106597,995822,0,107255,622692,0,97078,902226,0,94057,684336,0,128633,597318,0,93351,654116,0,117650,785166,0,102695,472332,0,121039,729870,0,103795,441217,0,116893,3509231
2,2016,'000000091',NO,GT,3,367947,12031759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,319922,11293977,1,48025,737782
2,2016,'000000099',  ,KG,0,852207245,1119638152,0,136278277,87550701,0,148902423,95038361,0,76142323,113470998,0,16029400,77888140,0,23886314,83886796,0,19582935,93471794,0,24588661,104959841,0,16130279,83565469,0,16019835,104235406,0,94595167,81908289,0,141913915,105730305,0,138137716,87932052
2,2016,'010121210',  ,NO,0,97,4975864,0,21,358833,0,4,40119,0,5,122276,0,7,279656,0,8,246514,0,13,935179,0,2,115542,0,6,12791,0,1,265162,0,0,0,0,15,1308287,0,15,1291505
2,2016,'010121290',  ,NO,0,6,126736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,126736
2,2016,'010129100',  ,NO,0,3702,4276793,0,396,505029,0,379,416162,0,383,456065,0,212,244770,0,9,49874,0,199,234675,0,101,146439,0,90,125361,0,380,374175,0,534,612838,0,543,589773,0,476,521632
2,2016,'010129210',  ,NO,0,3,11934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2016,'010129290',  ,NO,0,174,3722045,0,2,12251,0,2,3845,0,24,587204,0,25,465233,0,10,133353,0,30,586607,0,4,67781,0,0,0,0,1,21802,0,0,0,0,53,1428372,0,23,415597
2,2016,'010221000',  ,NO,0,3,9528,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2016,'010229100',  ,NO,0,8635,1904461,0,1039,193316,0,1062,225325,0,345,107910,0,1053,216004,0,1051,221038,0,937,186418,0,0,0,0,107,22644,0,0,0,0,2119,503969,0,922,227837,0,0,0
2,2016,'010229200',  ,NO,0,305,65590,0,37,6886,0,15,3296,0,0,0,0,24,5186,0,24,5058,0,18,3481,0,0,0,0,115,24337,0,0,0,0,39,9298,0,33,8048,0,0,0
2,2016,'010310000',  ,NO,0,163,69025,0,0,0,0,0,0,0,42,23200,0,0,0,0,5,2961,0,0,0,0,0,0,0,0,0,0,0,0,0,2,858,0,91,32903,0,23,9103
2,2016,'010391000',  ,NO,0,91,22882,0,0,0,0,0,0,0,0,0,0,0,0,0,44,5929,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2089,0,0,0,0,41,14864
2,2016,'010392020',  ,NO,0,786,234703,0,83,28254,0,55,52896,0,32,9325,0,75,30249,0,17,8252,0,153,16245,0,63,24388,0,0,0,0,0,0,0,107,19582,0,18,7063,0,183,38449
2,2016,'010410000',  ,NO,0,19,6379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,6379,0,0,0,0,0,0,0,0,0
2,2016,'010511000',  ,NO,0,557941,911515,0,21164,14980,0,51861,52403,0,57933,43026,0,63398,169486,0,26779,35002,0,70156,152375,0,28655,29059,0,26408,18761,0,55085,89447,0,52265,104556,0,74423,134128,0,29814,68292
2,2016,'010513000',  ,NO,0,9064,16997,0,1269,2397,0,0,0,0,0,0,0,0,0,0,0,0,0,2261,4270,0,0,0,0,0,0,0,0,0,0,2303,4199,0,3231,6131,0,0,0
2,2016,'010611000',NO,KG,5834,18943,1410000,0,0,0,433,1488,120058,684,1995,177376,216,764,43678,948,2924,224183,140,593,34973,915,2740,228448,208,1066,55817,740,2165,163529,288,774,67375,1040,3754,244067,222,680,50496
2,2016,'010612010',NO,KG,7,1400,40708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1400,40708,0,0,0,0,0,0,0,0,0,0,0,0
2,2016,'010612090',NO,KG,6,682,7984,0,0,0,0,0,0,0,0,0,0,0,0,2,600,1703,0,0,0,0,0,0,0,0,0,2,50,2584,2,32,3697,0,0,0,0,0,0
2,2016,'010613000',NO,KG,11,880,1319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,880,1319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2016,'010614000',NO,KG,9268,60049,51855,1026,7098,6083,0,0,0,1953,14231,11940,1164,7151,5982,899,7081,5366,917,7147,5528,10,15,213,0,0,0,993,2682,3306,1009,7327,6960,1033,7127,5699,264,190,778
2,2016,'010619010',NO,KG,12141,21122,446533,1075,1774,34130,894,1365,31025,1172,1826,32760,1026,1602,41254,998,1561,31445,933,2637,53670,784,1270,32895,667,1296,25909,1247,2013,53215,1001,1550,23829,983,2085,46070,1361,2143,40331
2,2016,'010619090',NO,KG,220784,20372,422174,24174,1109,32736,17599,895,35908,26730,1278,36493,22298,1017,37847,22071,1042,31950,16867,861,25759,13150,9132,73745,6192,521,28507,19979,880,19570,20707,1006,34941,15367,1731,35310,15650,900,29408
2,2016,'010620010',NO,KG,114043,29883,138794,3777,3550,11006,3888,3272,15522,2623,687,8003,18854,2355,9458,2246,1230,6383,8538,3223,17810,28302,2631,21737,25436,3354,13783,3262,2124,7569,6500,2117,10200,5881,4102,10591,4736,1238,6732
2,2016,'010620031',NO,KG,64482,3480,211763,5391,401,16939,4797,190,9329,4605,293,19844,5896,389,16698,4204,255,14963,6291,315,27851,7245,340,19352,3822,276,10490,3800,136,19608,3665,189,13256,8878,324,18768,5888,372,24665
2,2016,'010620039',NO,KG,13446,2548,75355,969,187,7015,594,54,4082,715,204,4923,588,339,6291,500,82,4223,725,80,4896,1461,401,6310,1406,176,6629,3531,276,7708,1436,131,8927,673,435,4038,848,183,10313
2,2016,'010620090',NO,KG,386,13,922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322,4,704,64,9,218,0,0,0,0,0,0,0,0,0
2,2016,'010631000',NO,KG,1689,1887,153945,41,56,3938,119,155,10152,26,25,1941,103,186,8075,147,131,14071,237,146,21205,274,305,24913,141,132,14691,303,366,28139,90,111,8939,99,105,7423,109,169,10458
2,2016,'010632000',NO,KG,6281,2280,241775,487,143,13549,631,225,30642,526,153,17100,449,158,18737,952,231,14405,734,224,38943,423,210,15926,397,167,17497,398,271,16973,275,103,13598,171,89,13488,838,306,30917
2,2016,'010639000',NO,KG,7701,2070,191368,400,174,8109,903,99,12910,932,374,15805,842,285,30866,429,86,4441,228,75,13990,613,78,5129,351,110,5721,545,78,13462,788,254,23662,965,158,19662,705,299,37611
2,2016,'010641000',NO,KG,3313304,20151,432635,351320,3041,49293,324130,2254,44435,372443,2303,50193,375840,2178,50994,220460,1112,29411,158910,675,21437,123435,574,16658,122660,488,15570,383170,2290,45447,318020,1821,37896,279350,1764,35102,283566,1651,36199
2,2016,'010649000',NO,KG,337089484,26945,109338,25000000,1250,2630,25380773,1472,6016,26475459,2224,10568,25656258,4198,20065,25370958,2846,12343,317421,1154,9274,52044150,4356,15508,328002,576,3366,51314375,2809,8581,27606505,1735,7824,26364550,1524,5495,51231033,2801,7668
2,2016,'010690011',NO,KG,6089,198,32965,567,5,1829,716,27,4117,687,23,3444,280,5,2331,1452,52,7959,322,14,1580,276,14,2521,150,1,1783,180,3,1186,439,33,2869,584,5,1568,436,16,1778
