Exp or Imp,Year,HS,Unit1,Unit2,Quantity1-Year,Quantity2-Year,Value-Year,Quantity1-Jan,Quantity2-Jan,Value-Jan,Quantity1-Feb,Quantity2-Feb,Value-Feb,Quantity1-Mar,Quantity2-Mar,Value-Mar,Quantity1-Apl,Quantity2-Apl,Value-Apl,Quantity1-May,Quantity2-May,Value-May,Quantity1-Jun,Quantity2-Jun,Value-Jun,Quantity1-Jul,Quantity2-Jul,Value-Jul,Quantity1-Aug,Quantity2-Aug,Value-Aug,Quantity1-Sep,Quantity2-Sep,Value-Sep,Quantity1-Oct,Quantity2-Oct,Value-Oct,Quantity1-Nov,Quantity2-Nov,Value-Nov,Quantity1-Dec,Quantity2-Dec,Value-Dec
2,2012,'481190000',  ,KG,0,14861332,3709773,0,1473828,354823,0,798643,187698,0,1327136,314721,0,1167561,287246,0,1174957,331798,0,940947,241563,0,1212987,323983,0,1294053,305374,0,1130813,284133,0,1684873,386481,0,1273147,360895,0,1382387,331058
2,2012,'481200000',  ,KG,0,13950,24354,0,0,0,0,699,1792,0,928,2124,0,14,376,0,2068,4666,0,586,2689,0,1922,3941,0,2417,1973,0,2854,3547,0,1091,2208,0,60,322,0,1311,716
2,2012,'481310000',  ,KG,0,8997,26503,0,645,2364,0,350,1124,0,391,1310,0,891,2853,0,1957,4515,0,793,2997,0,36,225,0,609,2777,0,1374,3021,0,1329,3194,0,257,1142,0,365,981
2,2012,'481320000',  ,KG,0,973787,600768,0,35203,9478,0,55590,51273,0,66266,49321,0,71090,58120,0,63096,41265,0,50946,19062,0,177742,121764,0,65374,34402,0,111486,55263,0,122185,63936,0,87847,59327,0,66962,37557
2,2012,'481390000',  ,KG,0,2277060,812247,0,100995,48040,0,131237,43477,0,171079,67206,0,155730,61428,0,279418,99246,0,59413,20311,0,320210,105455,0,253756,80279,0,197905,69732,0,203538,65733,0,225662,90386,0,178117,60954
2,2012,'481420000',  ,KG,0,360581,251956,0,27633,23974,0,20445,15246,0,12781,16191,0,23633,9845,0,22716,18757,0,9808,10073,0,21261,16778,0,59877,33123,0,28938,27564,0,51491,30236,0,54834,28528,0,27164,21641
2,2012,'481490000',  ,KG,0,143300,144716,0,14195,10875,0,12055,8308,0,18959,19465,0,5405,10327,0,9430,14010,0,15072,10367,0,13535,13528,0,9215,15094,0,9475,10065,0,9834,8820,0,15019,12271,0,11106,11586
2,2012,'481620000',  ,KG,0,682803,99832,0,92312,14696,0,35052,4433,0,87889,13325,0,18631,2290,0,66608,9422,0,36471,5406,0,61599,7463,0,17760,2747,0,34954,6145,0,17638,2721,0,87026,12546,0,126863,18638
2,2012,'481690000',  ,KG,0,193426,78546,0,5319,2734,0,28493,8257,0,3576,2983,0,2868,3449,0,20103,4931,0,40949,12110,0,7589,7625,0,10473,6413,0,33428,12858,0,11859,4011,0,3254,3573,0,25515,9602
2,2012,'481710000',  ,KG,0,9047355,2177861,0,813704,162283,0,570864,124732,0,727930,164060,0,725585,152783,0,869928,190325,0,779834,174580,0,597317,144970,0,716424,185627,0,575657,162092,0,751968,222733,0,1035134,264614,0,883010,229062
