Exp or Imp,Year,HS,Unit1,Unit2,Quantity1-Year,Quantity2-Year,Value-Year,Quantity1-Jan,Quantity2-Jan,Value-Jan,Quantity1-Feb,Quantity2-Feb,Value-Feb,Quantity1-Mar,Quantity2-Mar,Value-Mar,Quantity1-Apl,Quantity2-Apl,Value-Apl,Quantity1-May,Quantity2-May,Value-May,Quantity1-Jun,Quantity2-Jun,Value-Jun,Quantity1-Jul,Quantity2-Jul,Value-Jul,Quantity1-Aug,Quantity2-Aug,Value-Aug,Quantity1-Sep,Quantity2-Sep,Value-Sep,Quantity1-Oct,Quantity2-Oct,Value-Oct,Quantity1-Nov,Quantity2-Nov,Value-Nov,Quantity1-Dec,Quantity2-Dec,Value-Dec
2,2013,'000000011',  ,KG,0,2708382,789033,0,237555,61458,0,147032,52937,0,132266,43835,0,245058,72568,0,263150,72301,0,229737,65294,0,256066,69427,0,268129,70810,0,202346,62905,0,270656,85747,0,242576,64964,0,213811,66787
2,2013,'000000019',  ,KG,0,1376244,7765033,0,88121,400253,0,98214,555754,0,109863,589734,0,105290,698077,0,125433,464534,0,110850,619561,0,119005,417223,0,123083,1042368,0,93196,608155,0,151608,953612,0,119264,791330,0,132317,624432
2,2013,'000000091',NO,GT,13,552815,15841138,0,0,0,0,0,0,0,0,0,4,109973,2804794,1,48029,659035,1,55284,1740591,3,230292,4046466,0,0,0,1,7816,479670,1,58994,4246959,0,0,0,2,42427,1863623
2,2013,'000000099',  ,KG,0,610203900,999789633,0,36074136,76837376,0,52156975,71121513,0,50056983,84362235,0,54019190,80291752,0,39259941,79004556,0,30222420,84087607,0,58873792,93897031,0,21344948,84218865,0,28382809,88296200,0,23982717,82655686,0,80282174,83300353,0,135547815,91716459
2,2013,'010121100',  ,NO,0,2,6918,0,0,0,0,1,1855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5063
2,2013,'010121210',  ,NO,0,91,5523497,0,22,728971,0,13,1050902,0,5,208172,0,13,1157702,0,6,214390,0,10,405752,0,3,92948,0,0,0,0,0,0,0,0,0,0,12,1286011,0,7,378649
2,2013,'010121290',  ,NO,0,7,218221,0,4,73490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,144731
2,2013,'010129100',  ,NO,0,3421,3752996,0,121,144099,0,310,417444,0,292,360933,0,290,368599,0,15,106298,0,375,311944,0,477,458009,0,11,28784,0,280,291824,0,279,289873,0,499,535107,0,472,440082
2,2013,'010129210',  ,NO,0,6,14645,0,0,0,0,0,0,0,0,0,0,2,4287,0,0,0,0,0,0,0,1,2382,0,0,0,0,0,0,0,0,0,0,3,7976,0,0,0
2,2013,'010129290',  ,NO,0,141,2223432,0,2,14467,0,6,68242,0,9,96731,0,30,501847,0,8,85595,0,19,240972,0,1,1228,0,2,24260,0,4,39838,0,39,721998,0,14,327903,0,7,100351
2,2013,'010221000',  ,NO,0,5,15681,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2013,'010229100',  ,NO,0,12151,2334455,0,0,0,0,1076,192090,0,1376,271833,0,1081,216559,0,1082,211968,0,1411,260140,0,385,69334,0,1554,294021,0,941,169802,0,1255,277122,0,942,175155,0,1048,196431
2,2013,'010229200',  ,NO,0,166,30781,0,0,0,0,18,3189,0,15,2822,0,10,1985,0,11,2155,0,23,4232,0,0,0,0,19,3563,0,14,2487,0,17,3162,0,16,2923,0,23,4263
2,2013,'010310000',  ,NO,0,39,24089,0,0,0,0,0,0,0,0,0,0,20,11878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5458,0,8,6753
2,2013,'010391000',  ,NO,0,482,100950,0,0,0,0,77,21778,0,41,6389,0,18,3230,0,0,0,0,116,29766,0,34,5560,0,46,7219,0,31,6010,0,33,6265,0,44,7307,0,42,7426
2,2013,'010392020',  ,NO,0,590,170571,0,0,0,0,0,0,0,29,10214,0,0,0,0,56,21648,0,27,9452,0,108,11258,0,202,64805,0,47,10383,0,0,0,0,83,26686,0,38,16125
2,2013,'010410000',  ,NO,0,43,4996,0,0,0,0,0,0,0,0,0,0,0,0,0,43,4996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2013,'010511000',  ,NO,0,556400,834812,0,11060,7541,0,40444,53676,0,121075,149010,0,16464,8703,0,29065,33823,0,55940,113002,0,71980,146042,0,29752,19771,0,12222,7748,0,75061,157242,0,37630,45969,0,55707,92285
2,2013,'010513000',  ,NO,0,5072,9022,0,0,0,0,0,0,0,0,0,0,1128,2030,0,0,0,0,0,0,0,858,1544,0,0,0,0,1272,2289,0,0,0,0,0,0,0,1814,3159
2,2013,'010515000',  ,NO,0,994,1512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,994,1512
2,2013,'010611000',NO,KG,5215,20376,1125581,0,0,0,716,2974,140378,263,1089,54813,891,3819,192591,443,1857,92097,296,995,91672,336,1504,74351,156,475,32017,565,1703,128694,420,1566,74917,502,2098,112257,627,2296,131794
2,2013,'010612010',NO,KG,2,700,15319,0,0,0,2,700,15319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2013,'010613000',NO,KG,44,6550,25297,0,0,0,0,0,0,14,1625,7381,0,0,0,16,725,3473,14,4200,14443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2013,'010614000',NO,KG,9192,21455,59525,144,74,420,185,36,313,105,24,214,267,66,519,0,0,0,22,110,333,1019,3130,7761,2054,6336,16038,240,56,492,810,1804,5667,2389,6341,17096,1957,3478,10672
2,2013,'010619012',NO,KG,9929,4522,97661,902,378,6681,893,386,7166,806,372,6905,906,402,9199,1163,484,15305,688,291,6405,771,352,7305,519,246,8619,846,435,7345,1023,486,9283,650,304,5733,762,386,7715
2,2013,'010619019',NO,KG,3257,22105,369883,216,1526,22367,326,2248,33255,383,2469,41787,184,1239,20257,365,2146,39579,314,1570,29919,278,1446,29578,218,1679,29945,345,2883,44900,286,2104,33348,200,1494,25592,142,1301,19356
2,2013,'010619041',NO,KG,180059,4020,31030,16975,390,2806,13059,263,2333,11165,269,1845,18040,409,3099,15280,385,2585,14380,259,2542,13900,313,2421,8265,196,1439,18720,405,3281,20050,528,3494,11795,203,1976,18430,400,3209
2,2013,'010619044',NO,KG,1172,379,9273,90,50,587,0,0,0,0,0,0,108,30,891,140,41,848,40,12,280,0,0,0,0,0,0,128,36,706,289,70,1594,122,50,660,255,90,3707
2,2013,'010619045',NO,KG,9864,452,24377,0,0,0,100,10,491,4199,151,9126,2420,87,4793,2325,118,6532,550,58,2235,60,12,349,0,0,0,0,0,0,0,0,0,150,7,265,60,9,586
2,2013,'010619046',NO,KG,894,207,16346,120,32,1769,135,32,2902,10,1,218,75,24,2332,70,2,230,88,15,2003,85,20,2090,43,15,518,19,1,423,216,52,3370,33,13,491,0,0,0
2,2013,'010619047',NO,KG,14138,1435,336688,1209,184,29050,1304,169,24804,1391,126,37668,1230,121,19191,1555,150,25253,1502,143,19087,1395,123,27174,980,99,23336,974,73,47778,1504,141,37573,615,55,37275,479,51,8499
2,2013,'010619049',NO,KG,345,316,5073,37,30,429,0,0,0,0,0,0,5,40,467,19,70,1084,150,15,296,0,0,0,0,0,0,0,0,0,0,0,0,134,161,2797,0,0,0
2,2013,'010619090',NO,KG,8617,6269,96635,798,35,3242,584,43,2841,564,91,3384,1038,138,9087,904,63,5189,567,136,4111,514,41,2560,376,20,1650,756,5060,49128,767,343,5186,728,104,4115,1021,195,6142
2,2013,'010620010',NO,KG,232451,59496,179019,5399,2212,7975,6718,2208,6124,33929,11585,22712,35671,16038,29576,14342,1273,9071,2358,711,8466,60047,1206,15488,27588,1338,13497,13970,2665,9452,14093,3741,13960,7496,6271,17527,10840,10248,25171
2,2013,'010620020',NO,KG,211,185,3277,4,4,724,0,0,0,70,62,641,0,0,0,0,0,0,0,0,0,101,69,880,0,0,0,0,0,0,4,20,297,0,0,0,32,30,735
2,2013,'010620031',NO,KG,63766,2026,125041,1525,104,5775,7186,127,4600,5400,222,13529,7538,207,10994,4075,157,8239,3449,148,8626,12326,268,15727,2479,120,9195,2952,112,12909,8557,214,9104,2705,106,9592,5574,241,16751
