Exp or Imp,Year,HS,Unit1,Unit2,Quantity1-Year,Quantity2-Year,Value-Year,Quantity1-Jan,Quantity2-Jan,Value-Jan,Quantity1-Feb,Quantity2-Feb,Value-Feb,Quantity1-Mar,Quantity2-Mar,Value-Mar,Quantity1-Apr,Quantity2-Apr,Value-Apr,Quantity1-May,Quantity2-May,Value-May,Quantity1-Jun,Quantity2-Jun,Value-Jun,Quantity1-Jul,Quantity2-Jul,Value-Jul,Quantity1-Aug,Quantity2-Aug,Value-Aug,Quantity1-Sep,Quantity2-Sep,Value-Sep,Quantity1-Oct,Quantity2-Oct,Value-Oct,Quantity1-Nov,Quantity2-Nov,Value-Nov,Quantity1-Dec,Quantity2-Dec,Value-Dec
2,2020,'000000011',  ,KG,0,786494,167289,0,162171,41189,0,132742,37824,0,253025,53166,0,139392,20232,0,32791,3281,0,41962,3467,0,2986,727,0,5131,1351,0,5340,2017,0,6123,1292,0,771,809,0,4060,1934
2,2020,'000000019',  ,KG,0,458478,3773183,0,91337,635934,0,119142,610363,0,135077,525961,0,68985,369188,0,7193,436372,0,4250,280493,0,9773,287379,0,5522,155706,0,3034,75007,0,2232,128180,0,8190,154118,0,3743,114482
2,2020,'000000091',NO,GT,12,507972,40987002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,290502,20331859,0,0,0,2,4226,86312,0,0,0,3,156833,14753493,4,6722,3415338,1,49689,2400000
2,2020,'000000099',  ,KG,0,1287421255,1119999703,0,203885708,104603412,0,127798599,94159471,0,60624395,89333846,0,27202326,97236907,0,57381927,78342360,0,46097159,89133951,0,16445364,82789858,0,81652500,86014080,0,133025909,93121301,0,100947608,94723756,0,167744574,98808494,0,264615186,111732267
2,2020,'010121210',  ,NO,0,72,6731974,0,22,1906175,0,8,744581,0,4,235120,0,6,38839,0,7,367795,0,2,47309,0,0,0,0,0,0,0,0,0,0,4,1184475,0,6,115729,0,13,2091951
2,2020,'010121290',  ,NO,0,93,4059565,0,19,1084996,0,7,587715,0,2,49825,0,0,0,0,0,0,0,2,3338,0,0,0,0,4,51355,0,0,0,0,8,240729,0,27,1591935,0,24,449672
2,2020,'010129100',  ,NO,0,2306,3392769,0,213,343098,0,217,359468,0,214,386211,0,204,242322,0,113,121087,0,111,157195,0,101,140932,0,9,34698,0,101,142467,0,320,417036,0,305,460785,0,398,587470
2,2020,'010129290',  ,NO,0,148,3040114,0,8,154585,0,3,44029,0,3,102789,0,26,617138,0,7,91885,0,11,188066,0,0,0,0,31,325160,0,4,36613,0,27,861287,0,15,393107,0,13,225455
2,2020,'010221000',  ,NO,0,10,3897,0,0,0,0,10,3897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2020,'010229100',  ,NO,0,14347,3414229,0,1449,325057,0,2090,560568,0,0,0,0,1443,297177,0,1411,304999,0,1444,317216,0,1278,317630,0,0,0,0,1277,312676,0,1256,313935,0,1380,330409,0,1319,334562
2,2020,'010229200',  ,NO,0,557,127397,0,51,11245,0,56,13124,0,0,0,0,54,10804,0,74,15558,0,50,10737,0,32,7870,0,0,0,0,57,13771,0,52,12700,0,70,16366,0,61,15222
2,2020,'010310000',  ,NO,0,14,8835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8835,0,0,0
2,2020,'010391000',  ,NO,0,2016,223403,0,0,0,0,385,45186,0,386,40427,0,0,0,0,360,37869,0,390,40528,0,395,48117,0,0,0,0,0,0,0,100,11276,0,0,0,0,0,0
2,2020,'010392020',  ,NO,0,491,173513,0,98,18607,0,20,10471,0,0,0,0,98,46653,0,0,0,0,0,0,0,38,19871,0,0,0,0,199,58468,0,0,0,0,0,0,0,38,19443
2,2020,'010511000',  ,NO,0,338032,688179,0,0,0,0,39546,52195,0,38926,97002,0,56419,112663,0,0,0,0,64986,142655,0,7820,11021,0,19728,65295,0,50976,66933,0,37483,115731,0,10743,11615,0,11405,13069
2,2020,'010513000',  ,NO,0,2801,5529,0,1540,3040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1261,2489,0,0,0,0,0,0
2,2020,'010611000',NO,KG,4069,11787,1334708,0,0,0,661,2244,252830,0,0,0,348,796,118147,0,0,0,580,1782,210505,0,0,0,506,1151,181239,720,2068,190991,0,0,0,1014,3171,298942,240,575,82054
2,2020,'010612090',NO,KG,13,371,43452,0,0,0,0,0,0,1,13,1102,0,0,0,1,13,4287,0,0,0,2,25,8568,1,13,4232,4,16,1228,1,75,5557,3,216,18478,0,0,0
