Exp or Imp,Year,HS,Unit1,Unit2,Quantity1-Year,Quantity2-Year,Value-Year,Quantity1-Jan,Quantity2-Jan,Value-Jan,Quantity1-Feb,Quantity2-Feb,Value-Feb,Quantity1-Mar,Quantity2-Mar,Value-Mar,Quantity1-Apl,Quantity2-Apl,Value-Apl,Quantity1-May,Quantity2-May,Value-May,Quantity1-Jun,Quantity2-Jun,Value-Jun,Quantity1-Jul,Quantity2-Jul,Value-Jul,Quantity1-Aug,Quantity2-Aug,Value-Aug,Quantity1-Sep,Quantity2-Sep,Value-Sep,Quantity1-Oct,Quantity2-Oct,Value-Oct,Quantity1-Nov,Quantity2-Nov,Value-Nov,Quantity1-Dec,Quantity2-Dec,Value-Dec
2,2015,'000000011',  ,KG,0,2504792,825389,0,182046,62327,0,120326,48004,0,190194,74055,0,195581,56998,0,177172,67605,0,228676,65034,0,231782,78806,0,259731,75811,0,201137,54165,0,244135,90778,0,160874,60950,0,313138,90856
2,2015,'000000019',  ,KG,0,1362836,9754751,0,96291,700360,0,97068,760459,0,111013,932736,0,132605,822622,0,91129,571802,0,109856,970742,0,119006,602899,0,135422,1198262,0,111238,764994,0,115955,1126723,0,110975,574684,0,132278,728468
2,2015,'000000091',NO,GT,4,170633,12587913,0,0,0,0,0,0,1,46896,3653039,0,0,0,1,59637,3358607,0,0,0,1,50763,4928300,1,13337,647967,0,0,0,0,0,0,0,0,0,0,0,0
2,2015,'000000099',  ,KG,0,851507981,1271097900,0,126234561,107684648,0,189448544,103561636,0,111567615,112595952,0,26832532,101694720,0,18368172,89683032,0,89301374,116815826,0,22244469,104039487,0,26536664,105207486,0,22534100,107736523,0,31044252,114225709,0,52705311,94887015,0,134690387,112965866
2,2015,'010121100',  ,NO,0,14,247002,0,0,0,0,0,0,0,4,232502,0,9,12298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2202
2,2015,'010121210',  ,NO,0,136,9078407,0,22,935002,0,1,1482499,0,6,245836,0,15,799812,0,46,1437299,0,2,200428,0,5,32970,0,2,3609,0,0,0,0,2,168629,0,1,353332,0,34,3418991
2,2015,'010121290',  ,NO,0,4,60979,0,1,13240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,47739
2,2015,'010129100',  ,NO,0,4582,5081565,0,389,364512,0,418,535783,0,457,461738,0,503,517596,0,205,239750,0,551,532929,0,180,229681,0,9,38776,0,300,365188,0,489,633659,0,678,696787,0,403,465166
2,2015,'010129210',  ,NO,0,1,2133,0,1,2133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2015,'010129290',  ,NO,0,200,4081826,0,5,55862,0,0,0,0,9,88166,0,49,1253555,0,47,444667,0,17,516244,0,4,15034,0,3,63534,0,3,69727,0,0,0,0,55,1163876,0,8,411161
2,2015,'010229100',  ,NO,0,9176,1847760,0,0,0,0,1042,208014,0,306,122471,0,1034,194803,0,1051,198768,0,934,182164,0,947,180777,0,943,193124,0,0,0,0,938,182481,0,927,180513,0,1054,204645
2,2015,'010229200',  ,NO,0,193,44341,0,0,0,0,11,3572,0,0,0,0,40,7573,0,26,4892,0,23,10235,0,7,1316,0,14,2844,0,0,0,0,18,3487,0,30,5796,0,24,4626
2,2015,'010239000',  ,NO,0,14,28780,0,0,0,0,4,7775,0,0,0,0,0,0,0,10,21005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2015,'010310000',  ,NO,0,22,15687,0,0,0,0,0,0,0,5,3885,0,0,0,0,9,8515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3287
2,2015,'010391000',  ,NO,0,43,5662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,5662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2015,'010392020',  ,NO,0,431,149727,0,0,0,0,0,0,0,10,7040,0,21,13365,0,48,18376,0,20,10454,0,72,18715,0,34,9044,0,60,19310,0,48,8644,0,22,3454,0,96,41325
2,2015,'010511000',  ,NO,0,487461,1018843,0,46628,113923,0,22058,21093,0,53753,118653,0,63772,125892,0,16038,17446,0,62956,159863,0,39100,71374,0,48531,58847,0,16915,20958,0,41197,100803,0,27069,84849,0,49444,125142
2,2015,'010513000',  ,NO,0,4454,7445,0,0,0,0,0,0,0,0,0,0,1310,1982,0,0,0,0,0,0,0,844,1594,0,0,0,0,1311,2001,0,0,0,0,0,0,0,989,1868
2,2015,'010611000',NO,KG,5235,16593,1365550,0,0,0,493,1579,129656,919,2744,264692,274,1016,68512,531,1580,119834,315,1224,80925,318,1003,76865,128,430,29321,576,1773,163223,269,927,65297,340,1094,79723,1072,3223,287502
2,2015,'010612090',NO,KG,8,338,5972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,338,5972,0,0,0,0,0,0,0,0,0
2,2015,'010613000',NO,KG,31,4109,16503,0,0,0,7,3128,11198,0,0,0,24,981,5305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2015,'010614000',NO,KG,12818,51903,106757,906,2780,8321,914,2812,8378,1856,5665,17485,1338,5179,10335,950,2897,9039,1816,5574,16988,1813,5563,17037,10,15,397,113,24,283,1028,7103,5745,1069,7206,6958,1005,7085,5791
2,2015,'010619010',NO,KG,11359,20201,508126,832,1598,38141,634,993,25669,840,1760,86466,1885,2289,52890,818,1156,23944,770,2061,42998,1049,1633,36675,555,1697,33814,1163,1954,47120,726,1613,33550,860,1747,44559,1227,1700,42300
2,2015,'010619090',NO,KG,243112,30640,526502,25670,1426,32440,14715,701,38267,24719,888,33677,26191,3654,57992,21216,3478,49341,23155,2860,48863,12810,511,28480,10362,568,18351,19187,842,29146,24369,4234,68429,21496,3820,43468,19222,7658,78048
2,2015,'010620010',NO,KG,155888,38854,143167,6120,4683,15122,5790,3353,7693,19449,4142,14219,5377,3606,10495,11562,2868,10384,6086,1764,7605,35904,2989,14449,35229,1302,9727,12654,1157,12168,4147,3242,11448,5177,3334,12231,8393,6414,17626
2,2015,'010620020',NO,KG,2,80,456,0,0,0,0,0,0,0,0,0,2,80,456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2015,'010620031',NO,KG,69183,3508,208743,4300,294,14634,2305,150,9340,8421,395,22220,3384,202,17285,8052,394,20440,8077,286,19599,12087,378,25114,3281,153,12219,4171,288,15817,2563,156,15112,7679,362,14625,4863,450,22338
2,2015,'010620039',NO,KG,16065,2371,86619,845,195,7364,663,126,4987,929,135,5279,569,70,4568,976,174,4526,712,179,6595,1315,276,9966,3581,395,7901,1245,136,7260,3635,385,9674,801,208,9304,794,92,9195
2,2015,'010620090',NO,KG,311,96,2198,64,26,589,0,0,0,0,0,0,0,0,0,20,43,962,0,0,0,158,2,325,0,0,0,0,0,0,69,25,322,0,0,0,0,0,0
2,2015,'010631000',NO,KG,1375,1364,158485,51,66,8735,0,0,0,55,52,5503,93,126,13708,103,113,12322,129,100,18778,172,137,21275,64,47,6859,174,120,15290,169,227,16741,132,124,16516,233,252,22758
2,2015,'010632000',NO,KG,5383,1820,217812,403,139,22397,196,57,7623,636,173,19900,281,104,13922,680,150,22148,358,110,19531,407,167,25537,453,98,22769,351,139,22510,548,189,14977,150,50,10168,920,444,16330
2,2015,'010639000',NO,KG,12643,2365,239499,327,107,5255,1122,242,63354,2977,304,26973,2253,235,11952,492,81,13581,448,174,10005,1333,210,9174,976,95,4653,153,88,6129,1421,269,25430,395,125,12878,746,435,50115
2,2015,'010641000',NO,KG,3080580,24805,443812,282980,2591,44570,282190,2430,40420,385660,3624,54955,320810,2971,44990,274640,1869,39606,156100,695,23391,89320,406,15098,116530,642,17457,334840,2673,45877,304240,2517,42866,301540,2492,42475,231730,1895,32107
2,2015,'010649000',NO,KG,286760696,26950,119181,25230640,1285,3549,25806835,1611,6232,26526185,2711,12633,25927961,3754,17514,305566,1887,10776,25697965,3520,16384,25996981,3647,16346,26045620,1955,9061,25943078,1696,7576,27364500,1971,7643,26497343,1305,5582,25418022,1608,5885
2,2015,'010690011',NO,KG,6646,235,27747,67,1,1001,792,30,752,1165,42,4636,268,7,2824,196,20,1232,347,14,2089,452,23,3516,786,37,3193,297,5,925,56,6,478,698,8,3797,1522,42,3304
2,2015,'010690012',NO,KG,1273,43,4644,0,0,0,100,3,235,0,0,0,0,0,0,0,0,0,423,19,1649,137,5,312,109,4,206,111,3,304,345,8,1229,48,1,709,0,0,0
2,2015,'010690019',NO,KG,140,1,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,1,270,0,0,0,0,0,0,0,0,0
2,2015,'010690090',NO,KG,57995467868,28008,349141,84564700,942,34269,141627873,1623,42597,1386827724,2187,30705,55606184620,5217,26765,54546637,1963,13990,41586075,3493,15906,38305620,4123,17316,126225526,2753,21066,154629112,3084,24681,121381506,1008,26805,170898475,1104,66945,68690000,511,28096
2,2015,'020110000',  ,KG,0,4789,4588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,801,641,0,0,0,0,3988,3947,0,0,0
2,2015,'020120000',  ,KG,0,601348,1272761,0,32930,54513,0,30622,60960,0,42349,82048,0,56528,127979,0,34192,79180,0,49831,115851,0,36732,85126,0,45821,98493,0,64922,153150,0,83719,175527,0,64790,126225,0,58912,113709
