Exp or Imp,Year,HS,Unit1,Unit2,Quantity1-Year,Quantity2-Year,Value-Year,Quantity1-Jan,Quantity2-Jan,Value-Jan,Quantity1-Feb,Quantity2-Feb,Value-Feb,Quantity1-Mar,Quantity2-Mar,Value-Mar,Quantity1-Apl,Quantity2-Apl,Value-Apl,Quantity1-May,Quantity2-May,Value-May,Quantity1-Jun,Quantity2-Jun,Value-Jun,Quantity1-Jul,Quantity2-Jul,Value-Jul,Quantity1-Aug,Quantity2-Aug,Value-Aug,Quantity1-Sep,Quantity2-Sep,Value-Sep,Quantity1-Oct,Quantity2-Oct,Value-Oct,Quantity1-Nov,Quantity2-Nov,Value-Nov,Quantity1-Dec,Quantity2-Dec,Value-Dec
2,2014,'000000011',  ,KG,0,2490781,764443,0,211794,72738,0,186895,60574,0,238581,75646,0,267324,73376,0,202983,59078,0,172371,48788,0,189063,59702,0,211364,69543,0,220858,53411,0,238799,69707,0,171222,46718,0,179527,75162
2,2014,'000000019',  ,KG,0,1433100,9364381,0,110271,693897,0,96188,722783,0,148356,618277,0,116863,1006260,0,92781,561602,0,121420,818816,0,124616,722525,0,105704,985623,0,120521,671266,0,156489,909162,0,110886,688975,0,129005,965195
2,2014,'000000091',NO,GT,10,7096654,10430927,2,19083,449029,0,0,0,0,0,0,0,0,0,1,13337,5968245,2,5599,1187358,0,0,0,1,15019,170920,4,7043616,2655375,0,0,0,0,0,0,0,0,0
2,2014,'000000099',  ,KG,0,882408800,1085933637,0,135152537,90807754,0,112560752,81079843,0,108171209,107965492,0,24188231,81117504,0,32856005,85773647,0,53576940,83519120,0,36116678,88511582,0,34431048,82313650,0,23968142,100493122,0,30328849,80957175,0,106082069,95783535,0,184976340,107611213
2,2014,'010121100',  ,NO,0,3,4962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2014,'010121210',  ,NO,0,87,5868246,0,7,237155,0,5,352295,0,23,1462313,0,2,41426,0,16,852575,0,10,847333,0,0,0,0,3,63063,0,0,0,0,1,231720,0,3,103434,0,17,1676932
2,2014,'010121290',  ,NO,0,10,274978,0,2,37918,0,0,0,0,2,75911,0,0,0,0,3,127601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11918,0,2,21630
2,2014,'010129100',  ,NO,0,5084,4929469,0,283,309664,0,359,336359,0,565,570282,0,510,453237,0,270,274352,0,557,543071,0,305,231817,0,333,262511,0,469,415677,0,387,384615,0,482,395270,0,564,752614
2,2014,'010129290',  ,NO,0,180,3342907,0,3,20859,0,4,68771,0,35,443589,0,25,494960,0,24,208948,0,18,539555,0,3,46921,0,3,7005,0,10,280599,0,26,558846,0,17,327863,0,12,344991
2,2014,'010221000',  ,NO,0,3,11410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2014,'010229100',  ,NO,0,10265,2007892,0,1091,201188,0,0,0,0,1381,297286,0,1052,198639,0,1033,195494,0,0,0,0,935,178995,0,933,179133,0,928,180800,0,933,182769,0,937,191098,0,1042,202490
2,2014,'010229200',  ,NO,0,218,41620,0,9,1654,0,0,0,0,31,5589,0,15,2928,0,32,6018,0,0,0,0,10,1887,0,18,3430,0,22,4260,0,25,4842,0,22,4456,0,34,6556
2,2014,'010239000',  ,NO,0,3,7503,0,3,7503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2014,'010310000',  ,NO,0,12,5002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5002,0,0,0
2,2014,'010391000',  ,NO,0,310,67673,0,0,0,0,46,11981,0,87,19383,0,26,5228,0,0,0,0,56,10601,0,0,0,0,0,0,0,46,7644,0,41,8868,0,8,3968,0,0,0
2,2014,'010392020',  ,NO,0,410,117692,0,0,0,0,0,0,0,0,0,0,58,26025,0,46,8604,0,0,0,0,9,6265,0,38,8406,0,19,10151,0,106,28709,0,57,18473,0,77,11059
2,2014,'010420000',  ,NO,0,12,4777,0,12,4777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2014,'010511000',  ,NO,0,452872,802377,0,0,0,0,55394,130226,0,31764,55184,0,35086,80597,0,55838,97659,0,36110,78989,0,29522,38512,0,19543,22059,0,53053,112299,0,37340,76597,0,46574,47989,0,52648,62266
