Exp or Imp,Year,HS,Unit1,Unit2,Quantity1-Year,Quantity2-Year,Value-Year,Quantity1-Jan,Quantity2-Jan,Value-Jan,Quantity1-Feb,Quantity2-Feb,Value-Feb,Quantity1-Mar,Quantity2-Mar,Value-Mar,Quantity1-Apl,Quantity2-Apl,Value-Apl,Quantity1-May,Quantity2-May,Value-May,Quantity1-Jun,Quantity2-Jun,Value-Jun,Quantity1-Jul,Quantity2-Jul,Value-Jul,Quantity1-Aug,Quantity2-Aug,Value-Aug,Quantity1-Sep,Quantity2-Sep,Value-Sep,Quantity1-Oct,Quantity2-Oct,Value-Oct,Quantity1-Nov,Quantity2-Nov,Value-Nov,Quantity1-Dec,Quantity2-Dec,Value-Dec
2,2011,'000000011',  ,KG,0,2183886,562933,0,197125,58658,0,169679,47638,0,207359,62968,0,163533,46154,0,160794,36892,0,177404,36642,0,184008,38155,0,191474,42987,0,184093,46762,0,176078,46679,0,180243,49360,0,192096,50038
2,2011,'000000019',  ,KG,0,1182167,5404374,0,110088,455727,0,94455,605358,0,106123,390976,0,137574,453335,0,84948,331526,0,68896,415867,0,83039,330818,0,88340,605111,0,96323,333045,0,113235,660196,0,98987,366498,0,100159,455917
2,2011,'000000091',NO,GT,13,638665,22477938,0,0,0,0,0,0,0,0,0,4,138211,5565496,3,269618,7380062,2,66155,4424349,1,151031,459800,0,0,0,0,0,0,2,9100,2589231,1,4550,2059000,0,0,0
2,2011,'000000099',  ,KG,0,390046270,952631942,0,30161140,75367991,0,25381751,71685933,0,30639517,84010198,0,32052005,74061060,0,30567700,83415266,0,34040459,82453274,0,31402986,75734136,0,32318745,80500680,0,24681338,81432464,0,62515337,81628449,0,28932491,84168330,0,27352801,78174161
2,2011,'010110110',  ,NO,0,8,20295,0,0,0,0,2,7054,0,1,3854,0,0,0,0,0,0,0,3,3118,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6269,0,0,0
2,2011,'010110121',  ,NO,0,94,4975297,0,13,486481,0,2,874671,0,9,557468,0,11,405987,0,19,550384,0,20,670108,0,1,47884,0,0,0,0,0,0,0,0,0,0,3,139688,0,16,1242626
2,2011,'010110122',  ,NO,0,6,616251,0,0,0,0,3,595119,0,0,0,0,1,5102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16030
2,2011,'010190110',  ,NO,0,3429,2537695,0,394,269515,0,385,248937,0,20,112674,0,228,226776,0,228,195982,0,348,219701,0,449,299741,0,300,152636,0,200,104458,0,300,239429,0,338,227199,0,239,240647
2,2011,'010190121',  ,NO,0,2,5409,0,0,0,0,0,0,0,1,2770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2639
2,2011,'010190122',  ,NO,0,208,2638862,0,2,14582,0,2,8964,0,2,28107,0,22,176155,0,47,513214,0,41,425566,0,3,25797,0,0,0,0,1,26420,0,60,946411,0,7,56381,0,21,417265
2,2011,'010290010',  ,NO,0,8,14466,0,8,14466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2011,'010290092',  ,NO,0,11938,1821169,0,0,0,0,2181,346421,0,0,0,0,1846,284228,0,0,0,0,1712,261278,0,0,0,0,1975,298978,0,1950,286691,0,335,69827,0,1939,273746,0,0,0
2,2011,'010290099',  ,NO,0,327,48710,0,0,0,0,84,12271,0,0,0,0,78,11273,0,0,0,0,51,7768,0,0,0,0,12,1795,0,46,6733,0,4,833,0,52,8037,0,0,0
