Exp or Imp,Year,HS,Unit1,Unit2,Quantity1-Year,Quantity2-Year,Value-Year,Quantity1-Jan,Quantity2-Jan,Value-Jan,Quantity1-Feb,Quantity2-Feb,Value-Feb,Quantity1-Mar,Quantity2-Mar,Value-Mar,Quantity1-Apl,Quantity2-Apl,Value-Apl,Quantity1-May,Quantity2-May,Value-May,Quantity1-Jun,Quantity2-Jun,Value-Jun,Quantity1-Jul,Quantity2-Jul,Value-Jul,Quantity1-Aug,Quantity2-Aug,Value-Aug,Quantity1-Sep,Quantity2-Sep,Value-Sep,Quantity1-Oct,Quantity2-Oct,Value-Oct,Quantity1-Nov,Quantity2-Nov,Value-Nov,Quantity1-Dec,Quantity2-Dec,Value-Dec
2,2010,'000000011',  ,KG,0,2508528,710932,0,247081,63520,0,202225,49167,0,227110,76086,0,242939,69009,0,173336,55619,0,201850,57975,0,242747,57708,0,181689,49989,0,221104,53787,0,182638,49326,0,220069,64681,0,165740,64065
2,2010,'000000019',  ,KG,0,1275135,6206610,0,108052,460681,0,103386,390637,0,129692,535629,0,99438,585481,0,90803,418543,0,89993,475005,0,87581,478446,0,132623,637197,0,124984,529791,0,110908,568329,0,94799,592720,0,102876,534151
2,2010,'000000091',NO,GT,5,480641,10441064,1,2475,1044070,0,0,0,0,0,0,0,0,0,0,0,0,1,15019,164977,1,152139,3043917,1,151048,2005100,0,0,0,1,159960,4183000,0,0,0,0,0,0
2,2010,'000000099',  ,KG,0,383664377,1029882311,0,29785286,89172702,0,30131931,76611692,0,26497648,91004895,0,30926736,89677153,0,30029236,90026899,0,32465206,93602991,0,33662346,91258504,0,32080551,82206988,0,29631854,86075608,0,46776758,84172889,0,33328341,81492189,0,28348484,74579801
2,2010,'010110121',  ,NO,0,130,6333139,0,14,1671803,0,12,921292,0,10,167659,0,19,458986,0,12,471696,0,43,810961,0,5,171556,0,1,175440,0,0,0,0,0,0,0,4,845178,0,10,638568
2,2010,'010110122',  ,NO,0,15,1661385,0,4,117462,0,3,1378097,0,1,9216,0,4,113055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,43555
2,2010,'010190110',  ,NO,0,4987,3744362,0,313,179307,0,444,351152,0,619,473888,0,331,200545,0,312,217330,0,354,230803,0,368,332586,0,491,253534,0,497,265248,0,323,404506,0,516,407073,0,419,428390
2,2010,'010190121',  ,NO,0,2,5051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5051,0,0,0,0,0,0,0,0,0
2,2010,'010190122',  ,NO,0,222,2549498,0,14,127880,0,1,17243,0,8,64074,0,45,581192,0,28,275397,0,50,366845,0,7,40704,0,0,0,0,2,4285,0,20,267425,0,31,505211,0,16,299242
2,2010,'010210000',  ,NO,0,165,84844,0,0,0,0,0,0,0,0,0,0,165,84844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2010,'010290010',  ,NO,0,4,7652,0,0,0,0,4,7652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2010,'010290092',  ,NO,0,15774,2290811,0,1454,222612,0,1750,275495,0,1465,209023,0,1466,221002,0,338,81829,0,1432,201035,0,1355,185798,0,1456,194468,0,1460,189738,0,1711,241796,0,0,0,0,1887,268015
2,2010,'010290099',  ,NO,0,406,56962,0,31,4024,0,72,9915,0,22,2731,0,49,6955,0,4,968,0,42,5835,0,49,6835,0,22,2878,0,27,3362,0,34,5913,0,0,0,0,54,7546
2,2010,'010310000',  ,NO,0,24,8885,0,0,0,0,0,0,0,0,0,0,22,8482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,403
2,2010,'010391000',  ,NO,0,121,18453,0,0,0,0,0,0,0,20,3126,0,9,3438,0,0,0,0,0,0,0,22,3401,0,0,0,0,0,0,0,50,5702,0,0,0,0,20,2786
2,2010,'010392020',  ,NO,0,519,151041,0,16,7244,0,30,22444,0,0,0,0,129,29401,0,0,0,0,29,9664,0,18,7137,0,0,0,0,0,0,0,30,20779,0,57,16859,0,210,37513
2,2010,'010410000',  ,NO,0,9,2454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2454,0,0,0,0,0,0
2,2010,'010420000',  ,NO,0,12,3950,0,12,3950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2010,'010511000',  ,NO,0,662992,738404,0,12062,13696,0,71043,94577,0,45101,21553,0,55063,89842,0,77162,98967,0,79059,103055,0,71717,33516,0,57444,38510,0,14824,13863,0,56376,82905,0,49797,48543,0,73344,99377
2,2010,'010512000',  ,NO,0,76,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,259
2,2010,'010519000',  ,NO,0,9271,9422,0,1412,2416,0,4133,965,0,0,0,0,0,0,0,0,0,0,2025,3269,0,0,0,0,0,0,0,0,0,0,0,0,0,1701,2772,0,0,0
2,2010,'010611000',NO,KG,5820,20438,1263038,0,0,0,460,1483,85698,398,1422,93980,740,2626,178545,141,367,26273,882,3072,199786,478,1537,101200,108,364,19385,726,3095,158510,354,1286,84153,788,2678,175272,745,2508,140236
2,2010,'010612000',NO,KG,220,1,2031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,1,2031,0,0,0
2,2010,'010619012',NO,KG,12342,5723,85882,979,529,8193,1045,506,7626,1279,646,9908,1482,723,9995,926,389,6128,1012,519,8560,758,295,5159,480,177,2975,1469,693,10206,983,428,5900,922,379,5320,1007,439,5912
