Exp or Imp,Year,HS,Unit1,Unit2,Quantity1-Year,Quantity2-Year,Value-Year,Quantity1-Jan,Quantity2-Jan,Value-Jan,Quantity1-Feb,Quantity2-Feb,Value-Feb,Quantity1-Mar,Quantity2-Mar,Value-Mar,Quantity1-Apr,Quantity2-Apr,Value-Apr,Quantity1-May,Quantity2-May,Value-May,Quantity1-Jun,Quantity2-Jun,Value-Jun,Quantity1-Jul,Quantity2-Jul,Value-Jul,Quantity1-Aug,Quantity2-Aug,Value-Aug,Quantity1-Sep,Quantity2-Sep,Value-Sep,Quantity1-Oct,Quantity2-Oct,Value-Oct,Quantity1-Nov,Quantity2-Nov,Value-Nov,Quantity1-Dec,Quantity2-Dec,Value-Dec
2,2022,'000000011',  ,KG,0,604179,319735,0,27517,12337,0,7033,8226,0,32597,5794,0,23518,20328,0,24436,7885,0,25323,22565,0,32174,16793,0,63138,33310,0,55806,39551,0,96287,30765,0,58165,42298,0,158185,79883
2,2022,'000000019',  ,KG,0,332499,588550,0,16173,21222,0,15080,16916,0,12464,19101,0,12077,16629,0,9445,32388,0,24918,33965,0,20755,31844,0,31799,75532,0,29013,51147,0,35097,84806,0,52670,101695,0,73008,103305
2,2022,'000000091',NO,GT,27,1812610,59500680,1,57806,430067,1,59694,4298230,2,96592,6166133,3,190815,11095221,1,60284,3308858,2,70089,246774,2,274957,9131000,3,224104,1863000,2,168792,2579887,4,335085,11937495,1,46427,311175,5,227965,8132840
2,2022,'000000099',  ,KG,0,1869238160,1679798142,0,160965457,127469017,0,254833889,129707776,0,191534152,136273069,0,65343300,111742299,0,101248229,135216906,0,50647191,137699833,0,123791218,139046409,0,182988342,138718321,0,167644295,152201419,0,144153756,155111407,0,144131343,153236023,0,281956988,163375663
2,2022,'010121100',  ,NO,0,8,51712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25166,0,0,0,0,0,0,0,0,0,0,0,0,0,6,21000,0,1,5546
2,2022,'010121210',  ,NO,0,81,6847076,0,16,1263537,0,11,882101,0,7,497418,0,8,628784,0,11,587799,0,5,88775,0,0,0,0,0,0,0,4,23685,0,0,0,0,7,292785,0,12,2582192
2,2022,'010121290',  ,NO,0,62,3166492,0,12,273994,0,7,103596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4737,0,0,0,0,21,755484,0,21,2028681
2,2022,'010129100',  ,NO,0,3521,6542597,0,199,366009,0,482,632885,0,129,310137,0,411,642066,0,202,459372,0,296,460808,0,216,439876,0,98,161018,0,300,599150,0,422,697177,0,414,1020666,0,352,753433
2,2022,'010129210',  ,NO,0,1,4689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4689,0,0,0,0,0,0,0,0,0
2,2022,'010129290',  ,NO,0,189,6254837,0,7,178985,0,1,41462,0,10,129895,0,31,1064198,0,21,627804,0,7,55275,0,1,75567,0,29,370246,0,5,529160,0,29,1535348,0,34,1407529,0,14,239368
