Exp or Imp,Year,HS,Unit1,Unit2,Quantity1-Year,Quantity2-Year,Value-Year,Quantity1-Jan,Quantity2-Jan,Value-Jan,Quantity1-Feb,Quantity2-Feb,Value-Feb,Quantity1-Mar,Quantity2-Mar,Value-Mar,Quantity1-Apr,Quantity2-Apr,Value-Apr,Quantity1-May,Quantity2-May,Value-May,Quantity1-Jun,Quantity2-Jun,Value-Jun,Quantity1-Jul,Quantity2-Jul,Value-Jul,Quantity1-Aug,Quantity2-Aug,Value-Aug,Quantity1-Sep,Quantity2-Sep,Value-Sep,Quantity1-Oct,Quantity2-Oct,Value-Oct,Quantity1-Nov,Quantity2-Nov,Value-Nov,Quantity1-Dec,Quantity2-Dec,Value-Dec
2,2017,'000000011',  ,KG,0,2791687,785064,0,247306,58058,0,230285,74651,0,200222,73368,0,236598,54805,0,270543,57203,0,279610,78376,0,188073,66238,0,290922,77361,0,249633,61991,0,154971,56481,0,219116,59111,0,224408,67421
2,2017,'000000019',  ,KG,0,1312984,8346459,0,110230,884322,0,102778,746894,0,109898,780274,0,86897,794772,0,109443,510397,0,122679,715664,0,106266,471593,0,106416,847962,0,119960,571533,0,102647,716733,0,123577,587497,0,112193,718818
2,2017,'000000091',NO,GT,30,2176678,95753297,1,18174,1743595,5,417508,16578701,6,574447,14477269,0,0,0,3,166923,7891922,4,318542,28606374,0,0,0,4,171362,3605405,1,57542,173866,2,203767,7305880,2,5987,3937710,2,242426,11432575
2,2017,'000000099',  ,KG,0,691091599,1162438888,0,107407595,94313329,0,107732911,87254965,0,90284909,115392612,0,16199886,81544871,0,27718209,86045455,0,24055335,111644280,0,79378451,83328473,0,24196349,97254798,0,16276117,104458477,0,21929816,92357858,0,60529351,93459702,0,115382670,115384068
2,2017,'010121100',  ,NO,0,6,21956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13591,0,0,0,0,0,0,0,3,8365,0,0,0
2,2017,'010121210',  ,NO,0,98,6217773,0,18,458487,0,4,1325934,0,18,715297,0,18,974234,0,6,255071,0,9,423893,0,3,100743,0,4,59774,0,0,0,0,1,98499,0,1,180543,0,16,1625298
2,2017,'010121290',  ,NO,0,4,212566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,212566
2,2017,'010129100',  ,NO,0,3247,4053568,0,235,335078,0,133,255367,0,213,282510,0,233,250772,0,318,398163,0,218,265767,0,239,279548,0,313,277500,0,328,379234,0,446,561914,0,128,166455,0,443,601260
2,2017,'010129210',  ,NO,0,1,1970,0,0,0,0,1,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2017,'010129290',  ,NO,0,195,4988740,0,4,170551,0,2,84717,0,13,90321,0,36,657537,0,10,151643,0,24,481418,0,0,0,0,1,39476,0,1,70298,0,21,758472,0,57,1485175,0,26,999132
2,2017,'010221000',  ,NO,0,172,92570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,89382,0,6,3188
2,2017,'010229100',  ,NO,0,13748,3887284,0,1016,269225,0,1003,260115,0,340,116831,0,1347,349314,0,1290,339474,0,1138,308842,0,935,253520,0,482,189924,0,2385,670050,0,849,280090,0,1228,338181,0,1735,511718
2,2017,'010229200',  ,NO,0,792,286801,0,30,7982,0,46,11965,0,0,0,0,62,16297,0,29,7158,0,181,83647,0,29,7727,0,25,10283,0,80,22458,0,2,809,0,239,95535,0,69,22940
2,2017,'010310000',  ,NO,0,127,57646,0,0,0,0,5,2957,0,40,11592,0,0,0,0,0,0,0,28,9650,0,0,0,0,0,0,0,0,0,0,14,10436,0,28,11367,0,12,11644
2,2017,'010391000',  ,NO,0,44,5349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,5349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2017,'010392020',  ,NO,0,1099,247055,0,89,22844,0,7,3461,0,3,1246,0,131,34665,0,38,14639,0,175,25179,0,69,23579,0,0,0,0,391,63150,0,72,14964,0,30,16882,0,94,26446
2,2017,'010410000',  ,NO,0,272,49859,0,79,14941,0,0,0,0,41,5715,0,23,4660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,24543,0,0,0,0,0,0
2,2017,'010511000',  ,NO,0,402169,792509,0,29338,25020,0,25727,28784,0,85936,210011,0,0,0,0,55408,116250,0,5569,8051,0,32216,77776,0,19979,28826,0,67533,132531,0,22710,34305,0,44578,118843,0,13175,12112
2,2017,'010513000',  ,NO,0,2118,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,846,1598,0,1272,2402
2,2017,'010515000',  ,NO,0,1097,1713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1097,1713
2,2017,'010611000',NO,KG,6624,22350,1709825,299,1302,83086,926,2541,233122,60,146,17272,504,1832,127771,827,3816,191193,328,1095,88259,244,799,68078,537,2088,142959,1210,3667,311860,102,310,20387,1384,4167,374843,203,587,50995
2,2017,'010613000',NO,KG,22,2543,14038,0,0,0,18,1043,8996,0,0,0,4,1500,5042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2017,'010614000',NO,KG,10959,25859,41207,1123,2718,3939,160,147,1309,1164,2737,3717,1573,3004,4514,1176,2860,3822,123,87,282,902,2720,3732,15,13,713,1023,2720,3704,1152,2886,5878,1296,3081,5111,1252,2886,4486
2,2017,'010619010',NO,KG,11378,17019,419405,1115,971,26410,1100,2601,46466,1176,963,26405,1181,2519,46561,740,1361,32621,904,898,29844,829,815,33481,636,1501,34188,1133,1563,32667,853,1180,36663,936,1357,33517,775,1290,40582
2,2017,'010619090',NO,KG,223085,21322,471159,16112,716,26855,21246,1856,59975,19520,746,39331,26366,3194,39941,21546,1503,40742,12961,665,29621,14300,746,27624,13789,602,22843,17549,899,25245,21173,1331,40494,19873,7988,80438,18650,1076,38050
2,2017,'010620010',NO,KG,100323,37506,154237,4436,3269,8837,4904,4084,9980,4391,3257,8783,13647,4390,15963,9792,3221,12030,12847,818,8115,10667,2232,23798,15471,2730,15134,4126,1613,6736,4538,2610,10836,8231,3625,20642,7273,5657,13383
2,2017,'010620020',NO,KG,412,483,7836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,9,1166,2,282,1296,27,70,616,10,5,243,164,102,4273,52,15,242
2,2017,'010620031',NO,KG,90449,4202,262097,3473,265,11048,6795,293,14331,7147,402,25107,7256,336,17272,7401,299,21434,10977,347,29461,7873,353,21501,9894,381,21537,6099,272,24221,6252,363,22613,9794,503,21495,7488,388,32077
2,2017,'010620039',NO,KG,14598,1845,95202,816,158,5697,704,122,3174,821,102,4593,842,114,5016,583,109,5873,1007,140,6380,2036,191,8649,2639,163,13651,1658,181,11743,1202,166,12029,1524,249,11096,766,150,7301
2,2017,'010620090',NO,KG,70,9,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,9,280,0,0,0
2,2017,'010631000',NO,KG,1299,1247,135265,64,103,4991,30,29,3213,99,144,7399,19,20,3771,62,104,5419,130,73,10681,176,200,17780,154,105,15916,189,145,21334,171,117,23810,160,163,14464,45,44,6487
2,2017,'010632000',NO,KG,4274,1461,179133,254,115,14139,290,94,12116,610,274,26041,315,118,17515,224,112,12331,569,156,20597,560,169,23941,338,48,8718,254,82,8695,163,117,11903,327,75,10458,370,101,12679
2,2017,'010639000',NO,KG,5844,1471,203130,355,68,3575,506,182,20882,260,132,28041,818,148,18216,66,33,2486,584,111,11555,145,41,5632,449,99,15990,393,95,19450,737,149,5746,762,180,32354,769,233,39203
2,2017,'010641000',NO,KG,3475625,19619,471135,345410,2350,46641,352260,2189,46237,412806,2180,54253,369414,2164,47253,262950,1405,34407,180090,747,24266,136435,624,20471,126630,555,18720,355950,1988,47654,354390,2209,49772,282440,1660,40045,296850,1548,41416
2,2017,'010649000',NO,KG,317266518,25798,119293,50300660,2632,6802,1136958,293,2723,27015759,2359,12750,25938724,3495,15249,26250951,2427,10533,25938385,3055,13878,1270405,2177,14740,26052414,1809,8389,51830096,2803,9935,27636223,1611,9877,27544963,1574,8048,26350980,1563,6369
2,2017,'010690011',NO,KG,5187,165,25977,466,18,3155,446,30,2236,761,39,1881,488,11,1991,414,12,3037,440,9,2729,816,24,1830,243,8,2562,93,2,815,260,4,540,274,7,2271,486,1,2930
2,2017,'010690012',NO,KG,1142,35,4670,0,0,0,0,0,0,112,4,311,45,2,231,0,0,0,71,2,592,250,12,617,0,0,0,193,2,1552,230,8,522,51,2,490,190,3,355
2,2017,'010690090',NO,KG,6278525672,36115,366328,103276050,495,34307,166065500,1852,44089,129211900,3076,29479,106424024,4807,24667,62620170,3672,18698,45210107,5238,17073,41864600,4400,14786,5111517300,3649,19082,121768301,2905,19229,138121872,2277,35011,172412200,2917,74454,80033648,827,35453
2,2017,'020110000',  ,KG,0,25378,22686,0,6434,4752,0,776,656,0,3613,2759,0,5209,4842,0,2805,2420,0,0,0,0,2995,2356,0,0,0,0,2802,2040,0,0,0,0,0,0,0,744,2861
2,2017,'020120000',  ,KG,0,816171,1572702,0,42716,72792,0,35225,61785,0,81520,140121,0,48485,93973,0,53189,108275,0,54531,126974,0,63707,152490,0,84031,190343,0,82524,159223,0,91851,160313,0,96732,174551,0,81660,131862
2,2017,'020130010',  ,KG,0,32471742,49154032,0,2038333,3142018,0,2082104,3208863,0,2684550,4077103,0,2514808,3857113,0,2621484,4038859,0,2647779,4124180,0,2698222,4241329,0,3185163,4780527,0,3104514,4522580,0,2817197,4208088,0,2932041,4358224,0,3145547,4595148
2,2017,'020130020',  ,KG,0,133296010,102882631,0,8709450,6971532,0,8017155,6402690,0,11021422,8572379,0,11444294,8448761,0,11244779,8276522,0,11947104,8906809,0,11154325,8731063,0,13195861,10260434,0,12690903,9624279,0,11414557,8864509,0,10770781,8590872,0,11685379,9232781
2,2017,'020130030',  ,KG,0,95973682,60562489,0,6363336,3929793,0,6469474,3937964,0,8128976,5102219,0,8683621,5499964,0,8502631,5310750,0,8600045,5481259,0,7987450,5414636,0,8744372,5838256,0,9024568,5495985,0,7783467,4792822,0,7748304,4805725,0,7937438,4953116
2,2017,'020130090',  ,KG,0,3266461,1951496,0,303537,189802,0,318540,196546,0,168393,106031,0,163510,99767,0,175045,104324,0,115432,70376,0,135663,83222,0,276792,161002,0,319254,182262,0,290146,172039,0,441750,261016,0,558399,325109
2,2017,'020220000',  ,KG,0,1155543,1040638,0,57116,46411,0,119877,117517,0,132221,112245,0,47867,46836,0,185488,167994,0,76629,68180,0,226823,201712,0,63517,65442,0,41756,40548,0,107782,105112,0,19297,14846,0,77170,53795
