Exp or Imp,Year,HS,Unit1,Unit2,Quantity1-Year,Quantity2-Year,Value-Year,Quantity1-Jan,Quantity2-Jan,Value-Jan,Quantity1-Feb,Quantity2-Feb,Value-Feb,Quantity1-Mar,Quantity2-Mar,Value-Mar,Quantity1-Apr,Quantity2-Apr,Value-Apr,Quantity1-May,Quantity2-May,Value-May,Quantity1-Jun,Quantity2-Jun,Value-Jun,Quantity1-Jul,Quantity2-Jul,Value-Jul,Quantity1-Aug,Quantity2-Aug,Value-Aug,Quantity1-Sep,Quantity2-Sep,Value-Sep,Quantity1-Oct,Quantity2-Oct,Value-Oct,Quantity1-Nov,Quantity2-Nov,Value-Nov,Quantity1-Dec,Quantity2-Dec,Value-Dec
2,2021,'000000011',  ,KG,0,269868,57794,0,5114,1253,0,1582,490,0,30379,3578,0,22873,5077,0,21470,2880,0,12191,3078,0,59368,8062,0,15641,5805,0,17942,4808,0,25000,5647,0,15173,4570,0,43135,12546
2,2021,'000000019',  ,KG,0,85073,348281,0,5392,42413,0,2206,25681,0,4676,4794,0,6184,43300,0,10753,10497,0,4847,77669,0,8895,72903,0,3172,9895,0,7974,16200,0,3757,14653,0,15963,16736,0,11254,13540
2,2021,'000000091',NO,GT,20,845536,32897266,0,0,0,6,64833,3369201,1,59422,1659680,2,8275,429000,0,0,0,1,59022,2654330,2,104653,2344250,0,0,0,3,281001,9967280,2,123007,4219822,1,36893,399140,2,108430,7854563
2,2021,'000000099',  ,KG,0,1263652349,1298833080,0,307270406,107005830,0,138497224,87732060,0,210888932,116206269,0,82370543,105647579,0,60642913,99950807,0,109951683,119884600,0,83712680,104698362,0,25976318,107927220,0,38516050,104364155,0,32171465,108936180,0,93213740,118732857,0,80440395,117747161
2,2021,'010121100',  ,NO,0,1,3411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3411
2,2021,'010121210',  ,NO,0,71,7433768,0,21,889995,0,3,179323,0,1,2058,0,10,480566,0,2,60922,0,7,269864,0,0,0,0,1,6921,0,1,17756,0,4,58070,0,8,3350512,0,13,2117781
2,2021,'010121290',  ,NO,0,89,4816489,0,11,400547,0,5,84154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,140675,0,9,947754,0,26,941753,0,34,2301606
2,2021,'010129100',  ,NO,0,3256,5290240,0,108,142675,0,561,794031,0,488,658290,0,399,607488,0,102,250472,0,202,198844,0,322,433217,0,0,0,0,112,211583,0,418,769192,0,233,784674,0,311,439774
2,2021,'010129210',  ,NO,0,1,3552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2021,'010129290',  ,NO,0,171,4254815,0,27,548840,0,1,7504,0,1,228,0,31,783583,0,17,549853,0,6,46446,0,0,0,0,1,769,0,23,416648,0,25,675466,0,21,480846,0,18,744632
