Exp or Imp,Year,HS,Unit1,Unit2,Quantity1-Year,Quantity2-Year,Value-Year,Quantity1-Jan,Quantity2-Jan,Value-Jan,Quantity1-Feb,Quantity2-Feb,Value-Feb,Quantity1-Mar,Quantity2-Mar,Value-Mar,Quantity1-Apl,Quantity2-Apl,Value-Apl,Quantity1-May,Quantity2-May,Value-May,Quantity1-Jun,Quantity2-Jun,Value-Jun,Quantity1-Jul,Quantity2-Jul,Value-Jul,Quantity1-Aug,Quantity2-Aug,Value-Aug,Quantity1-Sep,Quantity2-Sep,Value-Sep,Quantity1-Oct,Quantity2-Oct,Value-Oct,Quantity1-Nov,Quantity2-Nov,Value-Nov,Quantity1-Dec,Quantity2-Dec,Value-Dec
2,2009,'000000011',  ,KG,0,2742351,763995,0,220191,63422,0,145989,41286,0,196228,53992,0,198510,67358,0,250010,73302,0,183334,54899,0,227387,63671,0,283393,63634,0,226763,65882,0,315592,78847,0,207363,65640,0,287591,72062
2,2009,'000000019',  ,KG,0,1315964,5430563,0,104228,432180,0,69306,462105,0,79405,413240,0,96145,640724,0,126687,426350,0,116825,405915,0,119690,335410,0,137686,473294,0,87863,263451,0,127746,514771,0,93693,531815,0,156690,531308
2,2009,'000000091',NO,GT,14,522546,20525823,0,0,0,1,15019,158000,5,5073,1231776,0,0,0,1,15019,167138,0,0,0,2,120246,4444000,1,532,721561,1,2285,722644,2,319809,11343200,0,0,0,1,44563,1737504
2,2009,'000000099',  ,KG,0,389037532,928515059,0,27926546,68108618,0,18552846,54015064,0,22170351,76010851,0,24832818,76687691,0,26007718,70668970,0,26741047,82069327,0,109345118,82184764,0,23278995,73193834,0,23216350,85421783,0,26694312,86425381,0,29013727,81980600,0,31257704,91748176
2,2009,'010110121',  ,NO,0,115,3433825,0,0,0,0,15,852284,0,10,423170,0,10,277306,0,28,861825,0,35,546648,0,0,0,0,0,0,0,0,0,0,1,2158,0,12,143908,0,4,326526
2,2009,'010110122',  ,NO,0,2,46531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,46531
2,2009,'010190110',  ,NO,0,4178,2959000,0,82,48665,0,389,295860,0,506,404078,0,153,121495,0,201,135953,0,445,408645,0,317,236910,0,303,174284,0,497,275685,0,530,344332,0,223,197794,0,532,315299
2,2009,'010190121',  ,NO,0,29,224216,0,0,0,0,1,1059,0,12,15865,0,14,176378,0,0,0,0,2,30914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2009,'010190122',  ,NO,0,190,1933617,0,0,0,0,9,43928,0,13,88983,0,31,393613,0,36,253064,0,49,500295,0,0,0,0,1,4709,0,1,22463,0,21,224475,0,10,203383,0,19,198704
2,2009,'010290010',  ,NO,0,5,6936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6936,0,0,0,0,0,0
