Exp or Imp,Year,HS,Unit1,Unit2,Quantity1-Year,Quantity2-Year,Value-Year,Quantity1-Jan,Quantity2-Jan,Value-Jan,Quantity1-Feb,Quantity2-Feb,Value-Feb,Quantity1-Mar,Quantity2-Mar,Value-Mar,Quantity1-Apr,Quantity2-Apr,Value-Apr,Quantity1-May,Quantity2-May,Value-May,Quantity1-Jun,Quantity2-Jun,Value-Jun,Quantity1-Jul,Quantity2-Jul,Value-Jul,Quantity1-Aug,Quantity2-Aug,Value-Aug,Quantity1-Sep,Quantity2-Sep,Value-Sep,Quantity1-Oct,Quantity2-Oct,Value-Oct,Quantity1-Nov,Quantity2-Nov,Value-Nov,Quantity1-Dec,Quantity2-Dec,Value-Dec
2,2023,'000000011',  ,KG,0,1917608,831854,0,87030,39506,0,72114,34952,0,135866,41532,0,212472,73405,0,174017,94372,0,115162,61624,0,136110,67990,0,191268,83100,0,194132,81240,0,207532,64179,0,180077,93200,0,211828,96754
2,2023,'000000019',  ,KG,0,1034211,1932501,0,52838,81107,0,51756,93810,0,75291,141902,0,92139,190969,0,87001,127605,0,75810,134049,0,81582,191829,0,103582,175381,0,110220,218357,0,90517,196680,0,99720,185248,0,113755,195564
2,2023,'000000091',NO,GT,10,493396,30432533,2,92628,4157720,4,225021,15165269,0,0,0,0,0,0,0,0,0,1,8018,2422945,0,0,0,0,0,0,2,142541,7885182,0,0,0,1,25188,801417,0,0,0
2,2023,'000000099',  ,KG,0,1808173341,1807168532,0,150440250,138033757,0,228569528,133576707,0,196468109,166940184,0,56476918,123892223,0,68626814,123111892,0,173905142,165010685,0,159021233,139047775,0,43237596,144736205,0,169654322,177688833,0,182893626,164438970,0,164198400,161687326,0,214681403,169003975
2,2023,'010121100',  ,NO,0,3,13188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7922,0,1,5266
2,2023,'010121210',  ,NO,0,84,10543041,0,17,1359679,0,5,435924,0,8,1138822,0,9,725793,0,0,0,0,8,207353,0,0,0,0,0,0,0,1,162173,0,1,334213,0,14,2922815,0,21,3256269
2,2023,'010121290',  ,NO,0,81,5230100,0,5,126883,0,2,38280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,204144,0,32,1828646,0,35,3032147
2,2023,'010129100',  ,NO,0,3115,6285239,0,228,412355,0,317,620538,0,404,785929,0,301,538354,0,113,237904,0,212,446114,0,200,324896,0,97,171126,0,204,391397,0,371,959820,0,242,413913,0,426,982893
2,2023,'010129290',  ,NO,0,175,5129872,0,3,118248,0,3,125036,0,16,443467,0,27,849624,0,22,452064,0,13,269985,0,0,0,0,24,324284,0,6,386189,0,27,1020153,0,24,972480,0,10,168342
2,2023,'010310000',  ,NO,0,41,18233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,9725,0,0,0,0,0,0,0,0,0,0,19,8508,0,0,0,0,0,0
2,2023,'010391000',  ,NO,0,161,74493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,18365,0,56,33371,0,0,0,0,0,0,0,4,2825,0,20,11560,0,22,8372
2,2023,'010392020',  ,NO,0,606,301742,0,0,0,0,0,0,0,0,0,0,140,71257,0,0,0,0,0,0,0,182,84522,0,0,0,0,0,0,0,163,79682,0,49,7541,0,72,58740
2,2023,'010410000',  ,NO,0,62,45864,0,0,0,0,0,0,0,0,0,0,45,25846,0,0,0,0,17,20018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'010420000',  ,NO,0,16,6250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,6250,0,0,0,0,0,0,0,0,0
2,2023,'010511000',  ,NO,0,255166,1083886,0,0,0,0,0,0,0,0,0,0,22503,137281,0,7047,12362,0,50754,291948,0,55003,206128,0,22311,113758,0,24878,43380,0,34241,65044,0,27209,190505,0,11220,23480
2,2023,'010611000',NO,KG,7192,17522,13501484,0,0,0,768,1773,893584,0,0,0,768,1923,859163,1258,2710,2429256,460,1269,1436953,768,2013,1193787,0,0,0,1008,2104,1817955,968,2909,1630507,160,560,594520,1034,2261,2645759
