Exp or Imp,Year,HS,Unit1,Unit2,Quantity1-Year,Quantity2-Year,Value-Year,Quantity1-Jan,Quantity2-Jan,Value-Jan,Quantity1-Feb,Quantity2-Feb,Value-Feb,Quantity1-Mar,Quantity2-Mar,Value-Mar,Quantity1-Apr,Quantity2-Apr,Value-Apr,Quantity1-May,Quantity2-May,Value-May,Quantity1-Jun,Quantity2-Jun,Value-Jun,Quantity1-Jul,Quantity2-Jul,Value-Jul,Quantity1-Aug,Quantity2-Aug,Value-Aug,Quantity1-Sep,Quantity2-Sep,Value-Sep,Quantity1-Oct,Quantity2-Oct,Value-Oct,Quantity1-Nov,Quantity2-Nov,Value-Nov,Quantity1-Dec,Quantity2-Dec,Value-Dec
2,2019,'721932010',  ,KG,0,54262,8077,0,0,0,0,19977,2696,0,0,0,0,19450,2558,0,0,0,0,0,0,0,0,0,0,14835,2823,0,0,0,0,0,0,0,0,0,0,0,0
2,2019,'721932022',  ,KG,0,15077557,3759005,0,1288951,338214,0,1233725,330539,0,908046,228392,0,968109,244651,0,1041915,250349,0,875918,215279,0,1899291,476301,0,707132,169139,0,1511191,358839,0,1393744,336750,0,1329044,329673,0,1920491,480879
2,2019,'721932023',  ,KG,0,123590,106608,0,5530,2577,0,1003,434,0,30873,28466,0,0,0,0,0,0,0,3514,2160,0,5313,6480,0,24579,23253,0,9523,7692,0,29481,26414,0,5204,2097,0,8570,7035
2,2019,'721932026',  ,KG,0,1142820,436851,0,137884,60297,0,32144,19535,0,114575,38447,0,45227,8441,0,185666,84408,0,17906,14085,0,87482,35462,0,134762,48007,0,154529,64922,0,68260,9746,0,138487,46640,0,25898,6861
2,2019,'721933011',  ,KG,0,588,245,0,0,0,0,0,0,0,588,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2019,'721933019',  ,KG,0,1086756,189175,0,79510,14675,0,88713,15498,0,129700,22867,0,198755,34328,0,57799,9349,0,78068,14231,0,65035,10957,0,79013,13292,0,54385,8304,0,123479,21501,0,118940,21186,0,13359,2987
2,2019,'721933022',  ,KG,0,54716199,13703271,0,5383928,1412590,0,4943406,1247482,0,4147628,1032569,0,4175488,1017758,0,5388864,1337902,0,3774524,945577,0,4760700,1188074,0,3480285,858749,0,3968878,950529,0,4992177,1245550,0,4441601,1126552,0,5258720,1339939
2,2019,'721933023',  ,KG,0,23168,84489,0,5677,14503,0,4111,9450,0,387,1096,0,1247,5011,0,2100,28036,0,3936,2665,0,511,1820,0,604,3859,0,1106,5685,0,2163,10554,0,666,438,0,660,1372
2,2019,'721933026',  ,KG,0,6214423,1314218,0,455654,112445,0,592397,118857,0,567187,128738,0,371624,75533,0,272421,77487,0,646426,139389,0,609442,129294,0,226176,49447,0,441038,82626,0,950586,196371,0,544239,104087,0,537233,99944
2,2019,'721934011',  ,KG,0,58,282,0,58,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2019,'721934019',  ,KG,0,1175179,209093,0,49556,9390,0,160484,29145,0,67720,12067,0,41755,9079,0,113133,19835,0,160569,29268,0,21852,3847,0,86008,15627,0,45725,8610,0,188281,32428,0,162191,25822,0,77905,13975
2,2019,'721934022',  ,KG,0,21734671,5856803,0,1640619,454232,0,1574267,440022,0,2015120,565158,0,1722846,457912,0,1504816,392246,0,2229009,586580,0,1835173,494601,0,1672893,444578,0,1648342,427069,0,1814189,484218,0,1942773,524037,0,2134624,586150
2,2019,'721934023',  ,KG,0,42363,47362,0,2492,2517,0,0,0,0,6654,5429,0,4975,5060,0,7647,6625,0,1462,931,0,7678,10404,0,1903,1832,0,757,3007,0,4769,6059,0,3331,3263,0,695,2235
2,2019,'721934025',  ,KG,0,37186,8460,0,0,0,0,0,0,0,11111,2523,0,0,0,0,0,0,0,0,0,0,12135,2592,0,0,0,0,0,0,0,12148,2738,0,0,0,0,1792,607
2,2019,'721934026',  ,KG,0,15209851,2717870,0,940028,197306,0,1316567,244280,0,1579268,279609,0,1090112,208987,0,894134,159788,0,1289908,226291,0,1040810,180070,0,833582,139308,0,1574458,266652,0,2103989,367367,0,1325031,235683,0,1221964,212529
2,2019,'721935010',  ,KG,0,447119,82369,0,77786,10721,0,7472,2254,0,45517,8021,0,22937,6496,0,16568,5030,0,77190,13818,0,9241,3483,0,49845,8740,0,17563,5749,0,37536,5088,0,70546,9891,0,14918,3078
2,2019,'721935022',  ,KG,0,3492091,1142197,0,202440,72025,0,193199,61751,0,273959,92526,0,228508,70425,0,190957,63146,0,177683,60097,0,402909,129998,0,196782,63045,0,440357,146743,0,430210,147935,0,165009,50527,0,590078,183979
2,2019,'721935023',  ,KG,0,326183,244969,0,43130,31238,0,0,0,0,32694,23808,0,67313,48814,0,14982,12100,0,96,900,0,53599,39681,0,52434,39144,0,49,295,0,0,0,0,1792,1131,0,60094,47858
2,2019,'721935026',  ,KG,0,2641311,1004837,0,208794,83917,0,230254,87299,0,238601,93791,0,181469,63155,0,217770,84173,0,313830,107971,0,240229,92130,0,190563,74643,0,185830,73715,0,232438,85516,0,222852,88134,0,178681,70393
2,2019,'721990000',  ,KG,0,1366218,1171383,0,127828,100882,0,97954,64183,0,135994,92267,0,121111,96420,0,78749,95701,0,124326,94287,0,91355,74213,0,112984,120815,0,114620,95619,0,97691,121622,0,110794,91656,0,152812,123718
2,2019,'722011000',  ,KG,0,676864,450699,0,52818,35251,0,22959,15282,0,60272,48141,0,61290,46626,0,29180,22154,0,24100,18055,0,126058,80241,0,69227,38688,0,79542,44666,0,35150,25879,0,80005,51375,0,36263,24341
2,2019,'722012000',  ,KG,0,280036,156645,0,31280,21594,0,5915,9596,0,33381,19584,0,6795,3098,0,24813,12706,0,29462,20897,0,46534,21785,0,15479,6322,0,49684,15854,0,4196,3890,0,27833,16182,0,4664,5137
2,2019,'722020010',  ,KG,0,641545,381905,0,116799,59155,0,38479,20736,0,68227,44292,0,54324,25835,0,49305,26232,0,58074,40061,0,52207,34888,0,29295,10627,0,54590,44980,0,51719,26844,0,27107,23223,0,41419,25032
2,2019,'722020025',  ,KG,0,130466,55658,0,24426,6504,0,6419,3272,0,33290,11617,0,1854,2256,0,3436,5141,0,7467,3787,0,26456,13680,0,3929,1094,0,15374,5242,0,5623,2013,0,294,530,0,1898,522
2,2019,'722020026',  ,KG,0,2821324,1087389,0,226378,107384,0,175035,74102,0,179796,79631,0,233492,82363,0,395563,122850,0,181810,66710,0,360898,111480,0,224469,80387,0,164280,64614,0,319309,114338,0,165890,81891,0,194404,101639
2,2019,'722020029',  ,KG,0,2058514,1157036,0,141711,90920,0,75286,63091,0,148426,92039,0,188607,96888,0,259917,166663,0,96995,52579,0,232370,143439,0,147689,94289,0,126685,60729,0,153332,85103,0,167802,75892,0,319694,135404
2,2019,'722090000',  ,KG,0,1379731,1370621,0,174193,115493,0,152164,173511,0,142914,119221,0,167791,154744,0,113932,107687,0,114819,129161,0,146023,108083,0,60979,58843,0,38682,43957,0,99474,113481,0,92574,151303,0,76186,95137
2,2019,'722100000',  ,KG,0,8602621,2613840,0,1151501,368968,0,390513,118334,0,819312,253189,0,945535,283940,0,1042378,337480,0,649704,190475,0,837701,242300,0,464514,145100,0,653307,190584,0,638595,188076,0,430060,126521,0,579501,168873
2,2019,'722211000',  ,KG,0,8761790,4502332,0,910223,478006,0,438721,247805,0,773560,384955,0,838872,440049,0,841681,464601,0,796464,422637,0,745252,365457,0,693149,358101,0,495077,275560,0,634727,295283,0,695301,356079,0,898763,413799
2,2019,'722219000',  ,KG,0,2143850,1395712,0,169512,115512,0,135953,101187,0,167128,92332,0,225124,137571,0,154673,97881,0,217204,147858,0,191809,120552,0,253882,141218,0,164800,100969,0,79739,51922,0,166603,143770,0,217423,144940
2,2019,'722220000',  ,KG,0,2599226,1698991,0,187976,125237,0,134148,105083,0,277221,166608,0,248858,155371,0,259826,156189,0,364004,214122,0,164535,108863,0,211219,219188,0,152299,91415,0,251917,152218,0,174085,97391,0,173138,107306
2,2019,'722230000',  ,KG,0,1569864,923041,0,174862,97426,0,26822,18151,0,312444,136134,0,75101,50423,0,145122,89595,0,50159,38171,0,122056,74483,0,212383,100366,0,158790,98631,0,84440,64456,0,81021,55640,0,126664,99565
2,2019,'722240000',  ,KG,0,557411,370623,0,35782,20884,0,33940,23802,0,35904,21553,0,37019,26574,0,47576,23963,0,69041,35058,0,24436,29711,0,80522,53583,0,8202,11186,0,81693,65281,0,49362,34099,0,53934,24929
2,2019,'722300000',  ,KG,0,26123915,13010748,0,2289949,1230205,0,1969661,1020674,0,2157412,1152776,0,2114079,1081904,0,2431891,1269666,0,1860130,928851,0,2330690,1182104,0,1915631,894585,0,2189066,1073067,0,2496277,1162858,0,2246828,1061812,0,2122301,952246
2,2019,'722410010',  ,KG,0,335748,371085,0,59700,34771,0,0,0,0,18816,28931,0,48502,105976,0,65510,55064,0,24727,55084,0,33904,43619,0,3539,7661,0,61360,32776,0,0,0,0,0,0,0,19690,7203
2,2019,'722410020',  ,KG,0,10167,4692,0,0,0,0,0,0,0,127,227,0,10040,4465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2019,'722410030',  ,KG,0,2722457,1677677,0,388988,175572,0,152997,251094,0,165582,179780,0,89298,187922,0,392832,131458,0,65308,93021,0,382881,143236,0,71811,108134,0,467138,129326,0,40310,56039,0,131822,139905,0,373490,82190
2,2019,'722490010',  ,KG,0,520965,513599,0,32637,28433,0,32598,30166,0,43271,45738,0,31664,29021,0,32761,30115,0,57908,66508,0,70425,103474,0,32941,26622,0,32838,23492,0,32803,23747,0,65347,46029,0,55772,60254
2,2019,'722490030',  ,KG,0,19714436,1492177,0,3664121,283590,0,147827,26625,0,1191875,77246,0,3811625,267911,0,1071258,83472,0,1107679,67931,0,1091701,95537,0,99910,15906,0,3877208,298339,0,213390,29030,0,166135,22971,0,3271707,223619
2,2019,'722511000',  ,KG,0,1245282,286724,0,198924,37520,0,167152,39640,0,79982,21410,0,274413,67215,0,0,0,0,0,0,0,136090,34260,0,57696,13604,0,22833,5365,0,47077,10545,0,134593,30598,0,126522,26567
2,2019,'722519000',  ,KG,0,54860805,4886697,0,3834623,355538,0,4151188,372942,0,4635780,417464,0,4066976,355326,0,4428674,384614,0,4622453,414851,0,6494237,583643,0,3920589,363583,0,3331009,288518,0,6322545,556079,0,5808624,515001,0,3244107,279138
