Exp or Imp,Year,HS,Unit1,Unit2,Quantity1-Year,Quantity2-Year,Value-Year,Quantity1-Jan,Quantity2-Jan,Value-Jan,Quantity1-Feb,Quantity2-Feb,Value-Feb,Quantity1-Mar,Quantity2-Mar,Value-Mar,Quantity1-Apr,Quantity2-Apr,Value-Apr,Quantity1-May,Quantity2-May,Value-May,Quantity1-Jun,Quantity2-Jun,Value-Jun,Quantity1-Jul,Quantity2-Jul,Value-Jul,Quantity1-Aug,Quantity2-Aug,Value-Aug,Quantity1-Sep,Quantity2-Sep,Value-Sep,Quantity1-Oct,Quantity2-Oct,Value-Oct,Quantity1-Nov,Quantity2-Nov,Value-Nov,Quantity1-Dec,Quantity2-Dec,Value-Dec
2,2024,'000000011',  ,KG,0,2701184,1137759,0,295936,109910,0,132991,74239,0,220537,91395,0,252245,102772,0,229374,83593,0,208223,88972,0,267455,119912,0,212557,82033,0,264585,106607,0,209156,95718,0,218442,87211,0,189683,95397
2,2024,'000000019',  ,KG,0,1419276,2489084,0,129080,189955,0,74148,126048,0,114902,253409,0,132658,245585,0,94196,166581,0,98072,189516,0,115718,184968,0,131713,213449,0,102875,161565,0,136086,269697,0,162039,266409,0,127789,221902
2,2024,'000000091',NO,GT,15,802402,48378273,2,96996,7197501,0,0,0,3,301545,12766250,0,0,0,1,87023,7947875,4,139985,7211740,2,171886,9982106,0,0,0,0,0,0,3,4967,3272801,0,0,0,0,0,0
2,2024,'000000099',  ,KG,0,1619504237,1858756161,0,159922302,132882326,0,71871193,119904710,0,54371800,164703144,0,68526239,128780132,0,29768480,143338067,0,84679096,168583412,0,99961636,161076061,0,263294198,160823944,0,241030433,194075476,0,162187919,150890925,0,186963380,152831695,0,196927561,180866269
2,2024,'010121100',  ,NO,0,7,28130,0,0,0,0,3,8001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11255,0,0,0,0,2,8874,0,0,0
2,2024,'010121210',  ,NO,0,101,6822750,0,19,718224,0,3,115643,0,14,1597309,0,9,530776,0,13,892888,0,1,11374,0,3,268315,0,0,0,0,4,45348,0,1,48406,0,10,437744,0,24,2156723
2,2024,'010121290',  ,NO,0,71,5987519,0,12,553237,0,1,7214,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3071,0,0,0,0,1,13073,0,3,94060,0,22,1579662,0,31,3737202
2,2024,'010129100',  ,NO,0,3831,7635849,0,400,690733,0,407,825596,0,494,990424,0,303,548355,0,211,544832,0,599,992142,0,206,358101,0,0,0,0,224,451443,0,267,713990,0,321,763223,0,399,757010
2,2024,'010129290',  ,NO,0,169,5495883,0,7,133274,0,4,88076,0,14,269526,0,45,1369390,0,29,619212,0,2,26588,0,5,94747,0,0,0,0,5,282432,0,25,1003651,0,27,1390520,0,6,218467
2,2024,'010310000',  ,NO,0,38,16450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,16450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2024,'010391000',  ,NO,0,192,81980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10462,0,110,40707,0,0,0,0,0,0,0,0,0,0,66,30811,0,0,0
2,2024,'010392020',  ,NO,0,1159,479738,0,0,0,0,73,42764,0,0,0,0,191,94753,0,204,73843,0,35,22841,0,37,29879,0,0,0,0,354,116786,0,0,0,0,79,11524,0,186,87348
2,2024,'010410000',  ,NO,0,61,28364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,28364,0,0,0
2,2024,'010511000',  ,NO,0,299419,1410798,0,24923,170646,0,15561,108170,0,0,0,0,34875,172493,0,22348,151040,0,26327,54857,0,11112,16015,0,32393,187624,0,50186,197053,0,1877,4391,0,47228,184380,0,32589,164129
2,2024,'010513000',  ,NO,0,6906,14993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2954,6414,0,0,0,0,1020,2214,0,0,0,0,0,0,0,1416,3074,0,1516,3291
2,2024,'010599000',  ,NO,0,15,779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,779,0,0,0,0,0,0
2,2024,'010611000',NO,KG,4608,8194,10071812,0,0,0,768,1519,1267365,768,1430,1468583,768,1438,1878776,0,0,0,0,0,0,768,1250,1824339,0,0,0,0,0,0,0,0,0,768,1458,1847740,768,1099,1785009
2,2024,'010614000',NO,KG,881,997,12595,0,0,0,52,80,288,29,65,1567,38,71,891,60,90,557,0,0,0,0,0,0,10,15,441,2,2,447,0,0,0,265,350,4304,425,324,4100
2,2024,'010619010',NO,KG,9225,22879,850824,536,1806,62021,581,1878,72003,759,2306,85001,866,1998,68087,777,1557,77066,991,1662,60211,799,2213,83686,547,1809,58282,864,2137,64051,742,1887,73315,698,1527,60311,1065,2099,86790
2,2024,'010619090',NO,KG,212203,25168,983566,18087,826,61177,15182,944,78158,18927,1143,61823,21698,962,64004,19848,1119,78785,14829,702,78714,16249,14969,165055,10141,541,70849,19605,769,62714,19705,1045,99294,16867,945,95586,21065,1203,67407
2,2024,'010620010',NO,KG,101107,29664,317774,4357,1281,13958,9474,1556,18385,5229,1343,20994,10120,1217,20609,6756,4833,20165,11825,1636,24078,7393,1306,40430,11257,3980,36211,7483,966,27210,11865,2273,28437,6238,3337,28124,9110,5936,39173
2,2024,'010620031',NO,KG,166340,7563,753479,8604,453,41609,8192,483,51877,13101,616,59445,19012,509,47220,11502,470,51536,23193,835,95217,11929,572,88248,14511,679,67826,12878,689,62405,17618,604,61390,14447,884,65545,11353,769,61161
2,2024,'010620039',NO,KG,25247,5275,341618,1606,315,21168,2095,675,30783,1723,373,21588,2209,446,31316,1295,241,19826,2391,430,26467,1901,508,28677,3419,462,21568,2091,611,40588,1317,148,28130,3367,655,43322,1833,411,28185
2,2024,'010620090',NO,KG,463,110,3263,0,0,0,50,15,482,0,0,0,0,0,0,100,30,771,0,0,0,85,30,610,0,0,0,0,0,0,228,35,1400,0,0,0,0,0,0
2,2024,'010631000',NO,KG,575,463,100515,15,4,1854,25,30,4058,43,26,5751,0,0,0,67,46,10517,100,50,17377,141,115,25760,90,90,15427,9,11,1543,28,31,6427,42,42,8011,15,18,3790
2,2024,'010632000',NO,KG,1823,547,141307,74,18,3378,355,79,13714,177,19,10972,25,7,2533,143,39,18034,76,27,8236,65,25,12090,197,71,20859,158,69,13045,275,23,6383,129,93,21621,149,77,10442
2,2024,'010639000',NO,KG,5022,686,196565,308,51,7558,368,70,18273,566,72,69633,623,66,9700,259,48,7374,606,26,2974,106,48,6486,433,63,12993,613,37,2033,651,73,10058,296,44,24171,193,88,25312
2,2024,'010641000',NO,KG,2491073,12746,605019,228900,1219,53726,252100,1255,60083,384648,1960,94415,187880,933,47308,133950,673,34031,138250,718,36513,100319,496,27745,95970,410,24448,306700,1563,71441,213420,1145,51461,221726,1133,54467,227210,1241,49381
2,2024,'010649000',NO,KG,272254220,17380,163836,26255445,1432,9428,856669,79,5674,25866327,1872,20471,25584542,1750,16718,26138977,1926,22264,25661734,1926,18768,1410801,546,10554,25433052,1557,14947,28376352,1664,8320,27244068,1528,14964,27436898,1393,9811,31989355,1707,11917
2,2024,'010690011',NO,KG,27180,776,73763,1744,61,4201,3435,87,7242,803,17,4150,1631,56,6615,1921,34,4289,1147,49,4211,1734,40,2353,1523,64,4920,2171,73,5582,3442,114,9178,3845,90,15299,3784,91,5723
2,2024,'010690012',NO,KG,4980,187,22607,808,37,3892,473,26,1447,677,26,3580,0,0,0,120,3,549,95,6,704,319,10,1619,9,1,548,510,12,3209,732,34,4062,188,10,962,1049,22,2035
2,2024,'010690019',NO,KG,161,4,533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,3,250,131,1,283
2,2024,'010690090',NO,KG,2202546114,26515,671555,263558934,1620,82351,326593839,1737,72079,152546752,2715,45005,98230233,3051,37033,80835099,2608,32705,67255514,1579,28554,50809300,3112,30819,106816026,2000,27187,126883461,1423,30759,312536554,2389,81987,456519124,3346,147483,159961278,935,55593
2,2024,'020120000',  ,KG,0,796120,2782446,0,52723,184920,0,61646,212957,0,89519,302621,0,75257,256564,0,59598,201178,0,48794,178112,0,46895,174109,0,53949,203241,0,74962,250205,0,83885,291120,0,82143,297981,0,66749,229438
2,2024,'020130010',  ,KG,0,18102157,38347236,0,1352768,2713536,0,1103646,2180227,0,1707376,3394616,0,1581079,3299877,0,1507006,3255052,0,1575220,3446868,0,1679820,3757972,0,1443646,3039379,0,1597091,3270967,0,1628758,3435867,0,1445764,3296274,0,1479983,3256601
2,2024,'020130020',  ,KG,0,93584848,116701146,0,8049932,9458874,0,5714135,6955469,0,8996709,10607000,0,8893420,10908208,0,8076636,10465866,0,8640508,11268965,0,8812211,11521209,0,6892253,8905540,0,7343078,8797638,0,7252843,8887004,0,6902968,8710564,0,8010155,10214809
2,2024,'020130030',  ,KG,0,80866105,79800510,0,7172997,6193915,0,5376388,4743362,0,7101955,6492191,0,7451640,7199743,0,7956904,8101911,0,7207954,7521791,0,8047684,8916169,0,7339867,7780184,0,6060743,5881335,0,6418779,6199671,0,4771449,4846449,0,5959745,5923789
2,2024,'020130090',  ,KG,0,3661529,3656879,0,338339,310391,0,263086,252603,0,286582,271575,0,194235,197386,0,189963,202095,0,250677,256664,0,288278,308023,0,261293,270403,0,326499,309714,0,320011,310944,0,455295,474088,0,487271,492993
2,2024,'020220000',  ,KG,0,576062,816675,0,55975,78757,0,24955,37473,0,19944,32431,0,116752,185846,0,44087,71347,0,32302,61639,0,19365,17890,0,6183,11837,0,56503,81686,0,60353,47886,0,103066,130622,0,36577,59261
2,2024,'020230010',  ,KG,0,6697795,7180030,0,357577,379494,0,406720,456638,0,385417,386774,0,963931,870858,0,605916,653559,0,891157,942285,0,643510,696424,0,785311,895410,0,432902,410412,0,482844,581698,0,444132,511449,0,298378,395029
2,2024,'020230020',  ,KG,0,38986981,38897215,0,2730323,2402529,0,1703759,1597636,0,1897769,1814913,0,5160712,5133517,0,3887835,3929479,0,3944009,4087086,0,3581637,3689687,0,4406083,4327180,0,2692254,2581393,0,3794134,3783731,0,2909317,3173814,0,2279149,2376250
2,2024,'020230030',  ,KG,0,137717959,99152570,0,11416690,7266488,0,8767061,5735083,0,9349419,6153455,0,19664809,13347455,0,12793045,9090615,0,11218620,8293154,0,10696411,8406141,0,12441132,9545256,0,9747304,7190538,0,11540188,8609699,0,9053381,6884317,0,11029899,8630369
2,2024,'020230090',  ,KG,0,145176368,87339116,0,11730668,6200634,0,7590783,3966839,0,8539073,4800145,0,19138469,10341963,0,13410895,8259382,0,13748631,8720262,0,15531306,10364467,0,15254589,9150192,0,9845649,6115974,0,12355587,7557153,0,8451810,5741743,0,9578908,6120362
2,2024,'020312022',  ,KG,0,628513,488014,0,61970,46299,0,46904,33477,0,62556,47590,0,50059,39369,0,36299,28267,0,33255,26235,0,81779,62455,0,52231,43372,0,32994,25693,0,47790,37226,0,57345,44926,0,65331,53105
2,2024,'020319022',  ,KG,0,384277976,261130976,0,34599296,22507533,0,32295403,20771886,0,33955142,22288483,0,33668841,22730980,0,33512536,23211020,0,30196643,21216599,0,27761063,20452057,0,28990459,21215319,0,30262628,21016600,0,34145253,22600532,0,30388201,19871583,0,34502511,23248384
2,2024,'020319025',  ,KG,0,610,318,0,0,0,0,0,0,0,0,0,0,0,0,0,610,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2024,'020321040',  ,KG,0,12581,20003,0,0,0,0,1132,2415,0,2275,4593,0,570,1215,0,0,0,0,4149,2662,0,1840,4067,0,285,635,0,0,0,0,569,1170,0,1761,3246,0,0,0
2,2024,'020322022',  ,KG,0,1802592,1201501,0,76349,49756,0,119386,76950,0,110720,73758,0,158103,104922,0,75469,49043,0,183180,120601,0,251383,169505,0,220576,150149,0,130303,87508,0,144188,98587,0,173493,116976,0,159442,103746
2,2024,'020322024',  ,KG,0,84680,24647,0,0,0,0,24180,6903,0,0,0,0,0,0,0,36320,10076,0,0,0,0,0,0,0,0,0,0,24180,7668,0,0,0,0,0,0,0,0,0
2,2024,'020322025',  ,KG,0,136475,70959,0,36071,18754,0,12015,6248,0,37175,19328,0,15035,7818,0,15037,7820,0,4009,2085,0,6006,3123,0,0,0,0,3006,1563,0,8121,4220,0,0,0,0,0,0
2,2024,'020329010',  ,KG,0,1499,2152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1499,2152
2,2024,'020329022',  ,KG,0,568285676,371806400,0,35186868,21306819,0,30560881,18646629,0,38552934,23509798,0,62815484,38121629,0,58024871,35579043,0,49560032,31131200,0,56403335,37059175,0,52407874,35406895,0,46472097,32697899,0,51080066,36228082,0,45938811,32723924,0,41282423,29395307
2,2024,'020329024',  ,KG,0,1085548,371358,0,241631,86110,0,64705,23390,0,23991,9365,0,120933,39788,0,65113,20499,0,48505,15010,0,95760,34187,0,120441,39205,0,71965,25787,0,72468,24902,0,111565,37396,0,48471,15719
2,2024,'020329025',  ,KG,0,20144063,10511459,0,1871836,971480,0,1437730,746907,0,1651951,852710,0,2013178,1053893,0,2359942,1235161,0,1674786,875276,0,1648444,862793,0,2348343,1229105,0,1718102,894646,0,1281766,670022,0,1611962,843978,0,526023,275488
2,2024,'020410000',  ,KG,0,3033,9135,0,0,0,0,290,1095,0,446,1478,0,452,1539,0,204,638,0,88,505,0,133,819,0,144,792,0,77,393,0,0,0,0,0,0,0,1199,1876
2,2024,'020422000',  ,KG,0,1165251,3252918,0,77559,197918,0,68448,198511,0,175891,514416,0,180904,538940,0,89617,252061,0,85741,234738,0,101188,283597,0,63467,171051,0,78324,202649,0,75651,195838,0,80550,220623,0,87911,242576
2,2024,'020423000',  ,KG,0,7320982,10556474,0,480289,617603,0,275273,388742,0,798094,1110321,0,790780,1130807,0,644281,935988,0,777523,1128765,0,772018,1143953,0,395898,577571,0,611330,857128,0,512184,752780,0,675839,1015207,0,587473,897609
2,2024,'020430000',  ,KG,0,582558,634406,0,143564,182863,0,594,705,0,19767,33994,0,38373,50202,0,120020,144991,0,105244,93673,0,18663,19341,0,29342,25841,0,24959,20268,0,8296,6824,0,20211,16750,0,53525,38954
2,2024,'020441000',  ,KG,0,707194,371514,0,55128,28319,0,95561,55411,0,79302,39233,0,199910,102045,0,38041,19601,0,45174,25367,0,54297,29664,0,17866,10224,0,78015,38161,0,26804,13004,0,16888,10227,0,208,258
2,2024,'020442000',  ,KG,0,4247314,3081761,0,357645,239992,0,358013,219721,0,363315,234936,0,655769,454831,0,272729,189685,0,428736,333849,0,535887,408343,0,210672,175693,0,194237,172964,0,447546,329134,0,225459,170524,0,197306,152089
2,2024,'020443000',  ,KG,0,8022054,7682253,0,567018,490420,0,574390,436918,0,717907,659631,0,969226,897403,0,1021313,1013692,0,769915,777704,0,1170357,1230578,0,568844,582139,0,460468,446247,0,517687,442286,0,388152,383710,0,296777,321525
2,2024,'020450000',  ,KG,0,671198,553314,0,22996,17401,0,36886,29272,0,67272,53774,0,43611,36459,0,41737,31907,0,59675,49438,0,71252,61562,0,57830,47393,0,120394,93634,0,44709,36384,0,21837,19553,0,82999,76537
2,2024,'020500000',  ,KG,0,4677055,5357661,0,403745,443620,0,463086,507719,0,319041,377505,0,310644,411302,0,467718,521601,0,314070,406248,0,362206,427496,0,336351,392896,0,388404,401972,0,476714,499031,0,438607,518748,0,396469,449523
2,2024,'020610011',  ,KG,0,19441134,61032908,0,1710198,4909587,0,1321049,3803796,0,1839262,5586578,0,1722489,5472452,0,1764244,5854930,0,1501539,5024769,0,1735097,6199549,0,1691314,5792216,0,1461260,4416425,0,1616726,4947282,0,1438630,4246717,0,1639326,4778607
2,2024,'020610019',  ,KG,0,24277880,51247677,0,2216392,4411447,0,1745764,3604374,0,2300355,4877381,0,2404317,5260619,0,2242351,5200011,0,1957777,4580607,0,2142830,4849981,0,1945779,4233861,0,1714713,3348065,0,1802867,3590263,0,1729807,3335262,0,2074928,3955806
