Exp or Imp,Year,HS,Unit1,Unit2,Quantity1-Year,Quantity2-Year,Value-Year,Quantity1-Jan,Quantity2-Jan,Value-Jan,Quantity1-Feb,Quantity2-Feb,Value-Feb,Quantity1-Mar,Quantity2-Mar,Value-Mar,Quantity1-Apr,Quantity2-Apr,Value-Apr,Quantity1-May,Quantity2-May,Value-May,Quantity1-Jun,Quantity2-Jun,Value-Jun,Quantity1-Jul,Quantity2-Jul,Value-Jul,Quantity1-Aug,Quantity2-Aug,Value-Aug,Quantity1-Sep,Quantity2-Sep,Value-Sep,Quantity1-Oct,Quantity2-Oct,Value-Oct,Quantity1-Nov,Quantity2-Nov,Value-Nov,Quantity1-Dec,Quantity2-Dec,Value-Dec
2,2018,'000000011',  ,KG,0,2597146,688469,0,190806,59274,0,198933,63270,0,232467,56929,0,230245,61491,0,259582,59050,0,222400,48510,0,251078,71365,0,254387,60917,0,167310,38426,0,204641,65107,0,150020,38409,0,235277,65721
2,2018,'000000019',  ,KG,0,1300903,7368871,0,116799,653527,0,103235,759117,0,101535,574335,0,122493,718025,0,113457,539950,0,98849,785756,0,106655,559045,0,96949,618466,0,88214,418674,0,126856,785613,0,110022,421060,0,115839,535303
2,2018,'000000091',NO,GT,11,634389,37246247,2,163798,9708539,0,0,0,1,93145,2074065,1,12044,1350000,0,0,0,2,109224,7523260,1,1483,55383,0,0,0,0,0,0,4,254695,16535000,0,0,0,0,0,0
2,2018,'000000099',  ,KG,0,810433089,1250509790,0,162411987,97837938,0,128528938,86901792,0,106479991,119901708,0,15626108,89240755,0,17689610,93499200,0,16047430,119781860,0,18409384,89151658,0,19740954,103933956,0,16705226,95561395,0,71372789,119257931,0,84782293,109483876,0,152638379,125957721
2,2018,'010121100',  ,NO,0,6,25283,0,0,0,0,0,0,0,1,5516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10415,0,1,9352
2,2018,'010121210',  ,NO,0,123,8903650,0,29,1297243,0,1,294282,0,15,955703,0,17,671668,0,5,203550,0,15,728790,0,0,0,0,8,123480,0,1,71955,0,2,120566,0,1,363042,0,29,4073371
2,2018,'010121290',  ,NO,0,2,37719,0,0,0,0,0,0,0,2,37719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2018,'010129100',  ,NO,0,4854,6186869,0,0,0,0,424,616556,0,559,622807,0,240,330482,0,322,404949,0,320,359193,0,518,646755,0,232,289863,0,454,635426,0,676,836761,0,574,757459,0,535,686618
2,2018,'010129290',  ,NO,0,235,4930577,0,6,227045,0,0,0,0,9,202784,0,32,427460,0,19,453731,0,31,547435,0,0,0,0,27,501879,0,5,107680,0,49,1381057,0,43,789297,0,14,292209
2,2018,'010221000',  ,NO,0,175,102135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,102135,0,0,0
2,2018,'010229100',  ,NO,0,13706,3658424,0,0,0,0,1426,386057,0,0,0,0,1609,460190,0,2027,584771,0,1787,478853,0,0,0,0,1273,323385,0,1334,330743,0,1315,332411,0,1398,341200,0,1537,420814
2,2018,'010229200',  ,NO,0,591,170874,0,0,0,0,43,11678,0,0,0,0,179,56010,0,92,29578,0,62,15582,0,0,0,0,42,10288,0,15,3562,0,33,8089,0,40,9430,0,85,26657
2,2018,'010239000',  ,NO,0,10,19367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,19367,0,0,0,0,0,0,0,0,0
2,2018,'010310000',  ,NO,0,41,16550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3762,0,0,0,0,0,0,0,0,0,0,32,12788,0,0,0,0,0,0
